start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-1.709	55.608	-1.709	55.608	1944953	1946408
-1.709	55.608	-0.9981	53.4394	1946408	1946414
-0.9981	53.4394	-0.9981	53.4394	1946414	1947862
-0.9981	53.4394	-5.478425	56.086019	1947862	1947875
-5.478425	56.086019	-5.478425	56.086019	1947875	1949331
-5.478425	56.086019	-4.224721	57.477772	1949331	1949336
-4.224721	57.477772	-4.224721	57.477772	1949336	1950790
-4.224721	57.477772	-6.42	56.33	1950790	1950797
-6.42	56.33	-6.42	56.33	1950797	1952609
-6.42	56.33	-0.893	53.528	1952609	1952624
-0.893	53.528	-0.893	53.528	1952624	1955905
-0.893	53.528	-3.0538	52.8598	1955905	1955911
-3.0538	52.8598	-3.0538	52.8598	1955911	1956116
-3.0538	52.8598	-1.709	55.608	1956116	1956124
-1.709	55.608	-1.709	55.608	1956124	1956628
-1.709	55.608	1.08	51.279999	1956628	1956641
1.08	51.279999	1.08	51.279999	1956641	1959189
1.08	51.279999	-1.05919	54.18523	1959189	1959198
-1.05919	54.18523	-1.05919	54.18523	1959198	1959410
-1.05919	54.18523	-1.05919	54.18523	1959410	1959411
-1.05919	54.18523	-1.05919	54.18523	1959411	1959926
-1.05919	54.18523	-1.08958	53.95887	1959926	1959928
-1.08958	53.95887	-1.08958	53.95887	1959928	1961007
-1.08958	53.95887	-1.548567	53.801277	1961007	1961009
-1.548567	53.801277	-1.548567	53.801277	1961009	1961051
-1.548567	53.801277	-1.695	52.633	1961051	1961055
-1.695	52.633	-1.695	52.633	1961055	1961172
-1.695	52.633	-0.538611	53.234444	1961172	1961176
-0.538611	53.234444	-0.538611	53.234444	1961176	1961295
-0.538611	53.234444	-1.08958	53.95887	1961295	1961298
-1.08958	53.95887	-1.08958	53.95887	1961298	1961386
-1.08958	53.95887	-0.608	54.489	1961386	1961389
-0.608	54.489	-0.608	54.489	1961389	1961752
-0.608	54.489	-1.52	54.136	1961752	1961755
-1.52	54.136	-1.52	54.136	1961755	1963943
-1.52	54.136	-0.608	54.489	1963943	1963946
-0.608	54.489	-0.608	54.489	1963946	1964083
-0.608	54.489	2.8231	49.414902	1964083	1964098
2.8231	49.414902	2.8231	49.414902	1964098	1964191
2.8231	49.414902	12.496366	41.902782	1964191	1964220
12.496366	41.902782	12.496366	41.902782	1964220	1961713
12.496366	41.902782	-1.695	52.633	1961713	1961755
-1.695	52.633	-1.695	52.633	1961755	1966206
-1.695	52.633	-2	55.166667	1966206	1966213
-2	55.166667	-2	55.166667	1966213	1966346
-2	55.166667	-0.608	54.489	1966346	1966351
-0.608	54.489	-0.608	54.489	1966351	1966429
-0.608	54.489	12.496366	41.902782	1966429	1966472
12.496366	41.902782	12.496366	41.902782	1966472	1966502
