start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-1.695	52.633	-1.695	52.633	1942762	1950066
-1.695	52.633	-1.695	52.633	1950066	1950067
-1.695	52.633	-1.695	52.633	1950067	1950794
-1.695	52.633	-1.966667	51.716667	1950794	1950797
-1.966667	51.716667	-1.966667	51.716667	1950797	1952934
-1.966667	51.716667	-0.893	53.528	1952934	1952940
-0.893	53.528	-0.893	53.528	1952940	1955788
-0.893	53.528	-3.09971	52.83322	1955788	1955794
-3.09971	52.83322	-3.09971	52.83322	1955794	1961004
-3.09971	52.83322	-1.45	53.834	1961004	1961009
-1.45	53.834	-1.45	53.834	1961009	1961005
-1.45	53.834	-2.2203	52.18858	1961005	1961010
-2.2203	52.18858	-2.2203	52.18858	1961010	1961006
-2.2203	52.18858	-1.45	53.834	1961006	1961011
-1.45	53.834	-1.45	53.834	1961011	1961041
