start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-1.695	52.633	-1.695	52.633	1955180	1961754
-1.695	52.633	-1.695	52.633	1961754	1961755
-1.695	52.633	-1.695	52.633	1961755	1962478
-1.695	52.633	0.53233	51.26001	1962478	1962485
0.53233	51.26001	0.53233	51.26001	1962485	1962628
0.53233	51.26001	-2.73071	52.70441	1962628	1962637
-2.73071	52.70441	-2.73071	52.70441	1962637	1962757
-2.73071	52.70441	-2.75	52.083333	1962757	1962759
-2.75	52.083333	-2.75	52.083333	1962759	1964302
-2.75	52.083333	0.583333	51.75	1964302	1964311
0.583333	51.75	0.583333	51.75	1964311	1964674
0.583333	51.75	-0.07952	51.50338	1964674	1964677
-0.07952	51.50338	-0.07952	51.50338	1964677	1966135
-0.07952	51.50338	-0.57144	51.23483	1966135	1966137
-0.57144	51.23483	-0.57144	51.23483	1966137	1966345
-0.57144	51.23483	-2.147913	52.906002	1966345	1966351
-2.147913	52.906002	-2.147913	52.906002	1966351	1967225
-2.147913	52.906002	0.53233	51.26001	1967225	1967233
0.53233	51.26001	0.53233	51.26001	1967233	1967591
0.53233	51.26001	-0.71818	53.43493	1967591	1967598
-0.71818	53.43493	-0.71818	53.43493	1967598	1967958
-0.71818	53.43493	-1.602	51.379	1967958	1967964
-1.602	51.379	-1.602	51.379	1967964	1968175
-1.602	51.379	-1.94921	50.979829	1968175	1968177
-1.94921	50.979829	-1.94921	50.979829	1968177	1968324
-1.94921	50.979829	-1.695	52.633	1968324	1968329
-1.695	52.633	-1.695	52.633	1968329	1968359
