start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
13.140689	46.109833	13.140689	46.109833	1920482	1936916
13.140689	46.109833	13.42861	46.09019	1936916	1936918
13.42861	46.09019	13.42861	46.09019	1936918	1939104
13.42861	46.09019	12.29	44.32	1939104	1939110
12.29	44.32	12.29	44.32	1939110	1941292
12.29	44.32	9.15	45.183334	1941292	1941301
9.15	45.183334	9.15	45.183334	1941301	1942751
9.15	45.183334	13.36779	45.7683	1942751	1942762
13.36779	45.7683	13.36779	45.7683	1942762	1944221
13.36779	45.7683	13.42861	46.09019	1944221	1944223
13.42861	46.09019	13.42861	46.09019	1944223	1944253
