start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
13.42861	46.09019	13.42861	46.09019	1944223	1944586
13.42861	46.09019	13.140688	46.109833	1944586	1944588
13.140688	46.109833	13.140688	46.109833	1944588	1946036
13.140688	46.109833	14.7833	41.1333	1946036	1946049
14.7833	41.1333	14.7833	41.1333	1946049	1955544
14.7833	41.1333	14.7833	41.1333	1955544	1955545
14.7833	41.1333	14.7833	41.1333	1955545	1957736
14.7833	41.1333	14.7833	41.1333	1957736	1957737
14.7833	41.1333	14.7833	41.1333	1957737	1958829
14.7833	41.1333	15.966667	41.7	1958829	1958833
15.966667	41.7	15.966667	41.7	1958833	1962831
15.966667	41.7	9.15	45.183334	1962831	1962850
9.15	45.183334	9.15	45.183334	1962850	1963000
9.15	45.183334	9.18854	45.464664	1963000	1963002
9.18854	45.464664	9.18854	45.464664	1963002	1963119
9.18854	45.464664	7.674094	45.067812	1963119	1963124
7.674094	45.067812	7.674094	45.067812	1963124	1963212
7.674094	45.067812	9.15	45.183334	1963212	1963216
9.15	45.183334	9.15	45.183334	1963216	1963367
9.15	45.183334	9.15	45.183334	1963367	1963368
9.15	45.183334	9.15	45.183334	1963368	1963472
9.15	45.183334	14.7833	41.1333	1963472	1963489
14.7833	41.1333	14.7833	41.1333	1963489	1963580
14.7833	41.1333	14.7833	41.1333	1963580	1963581
14.7833	41.1333	14.7833	41.1333	1963581	1964304
14.7833	41.1333	17.2431	40.4667	1964304	1964311
17.2431	40.4667	17.2431	40.4667	1964311	1964521
17.2431	40.4667	17.9333	40.6333	1964521	1964524
17.9333	40.6333	17.9333	40.6333	1964524	1965390
17.9333	40.6333	12.0333	44.2167	1965390	1965407
12.0333	44.2167	12.0333	44.2167	1965407	1965615
12.0333	44.2167	12.4881	45.78	1965615	1965620
12.4881	45.78	12.4881	45.78	1965620	1965769
12.4881	45.78	13.140688	46.109833	1965769	1965772
13.140688	46.109833	13.140688	46.109833	1965772	1966136
13.140688	46.109833	13.262911	46.197184	1966136	1966137
13.262911	46.197184	13.262911	46.197184	1966137	1966279
13.262911	46.197184	12.56738	41.87194	1966279	1966290
12.56738	41.87194	12.56738	41.87194	1966290	1966408
12.56738	41.87194	12.7333	42.7333	1966408	1966411
12.7333	42.7333	12.7333	42.7333	1966411	1966492
12.7333	42.7333	9.15	45.183334	1966492	1966503
9.15	45.183334	9.15	45.183334	1966503	1966533
