start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
9.266667	45.583332	9.266667	45.583332	1937283	1950062
9.266667	45.583332	7.674094	45.067812	1950062	1950067
7.674094	45.067812	7.674094	45.067812	1950067	1951159
7.674094	45.067812	8.8	45.117	1951159	1951163
8.8	45.117	8.8	45.117	1951163	1952257
8.8	45.117	8.8	45.117	1952257	1952258
8.8	45.117	8.8	45.117	1952258	1953717
8.8	45.117	9.15	45.183334	1953717	1953719
9.15	45.183334	9.15	45.183334	1953719	1959562
9.15	45.183334	9.15	45.183334	1959562	1959563
9.15	45.183334	9.15	45.183334	1959563	1959927
9.15	45.183334	9.152722	45.186514	1959927	1959928
9.152722	45.186514	9.152722	45.186514	1959928	1959958
