start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-7.600556	54.873889	-7.600556	54.873889	2415983	2415984
-7.600556	54.873889	-3.1883	55.9533	2415984	2415996
-3.1883	55.9533	-3.1883	55.9533	2415996	2415996
-3.1883	55.9533	-5.08855	55.53381	2415996	2416002
-5.08855	55.53381	-5.08855	55.53381	2416002	1940518
-5.08855	55.53381	12.482778	41.893333	1940518	1940571
12.482778	41.893333	12.482778	41.893333	1940571	1941978
12.482778	41.893333	-6.925	52.662222	1941978	1942031
-6.925	52.662222	-6.925	52.662222	1942031	1942122
-6.925	52.662222	-7.024319	52.736056	1942122	1942123
-7.024319	52.736056	-7.024319	52.736056	1942123	1947822
-7.024319	52.736056	12.482778	41.893333	1947822	1947875
12.482778	41.893333	12.482778	41.893333	1947875	1951475
12.482778	41.893333	-7.024319	52.736056	1951475	1951528
-7.024319	52.736056	-7.024319	52.736056	1951528	1954954
-7.024319	52.736056	-7.024319	52.736056	1954954	1954955
-7.024319	52.736056	-7.024319	52.736056	1954955	1954985
