start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-4.024444	39.856667	-4.024444	39.856667	1925596	1932531
-4.024444	39.856667	-2.894444	40.354167	1932531	1932535
-2.894444	40.354167	-2.894444	40.354167	1932535	1933250
-2.894444	40.354167	3.004167	43.183611	1933250	1933266
3.004167	43.183611	3.004167	43.183611	1933266	1935581
3.004167	43.183611	-4.024444	39.856667	1935581	1935600
-4.024444	39.856667	-4.024444	39.856667	1935600	1935852
-4.024444	39.856667	-4.024444	39.856667	1935852	1935853
-4.024444	39.856667	-4.024444	39.856667	1935853	1936016
-4.024444	39.856667	3.004167	43.183611	1936016	1936035
3.004167	43.183611	3.004167	43.183611	1936035	1936163
3.004167	43.183611	-6.333	38.9	1936163	1936188
-6.333	38.9	-6.333	38.9	1936188	1936394
-6.333	38.9	-4.024444	39.856667	1936394	1936401
-4.024444	39.856667	-4.024444	39.856667	1936401	1936704
-4.024444	39.856667	-4.024444	39.856667	1936704	1936705
-4.024444	39.856667	-4.024444	39.856667	1936705	1940409
-4.024444	39.856667	12.496366	41.902782	1940409	1940449
12.496366	41.902782	12.496366	41.902782	1940449	1940523
12.496366	41.902782	-7.556944	43.011667	1940523	1940571
-7.556944	43.011667	-7.556944	43.011667	1940571	1940921
-7.556944	43.011667	-4.383333	38.016667	1940921	1940936
-4.383333	38.016667	-4.383333	38.016667	1940936	1941317
-4.383333	38.016667	-4.024444	39.856667	1941317	1941322
-4.024444	39.856667	-4.024444	39.856667	1941322	1941352
