start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
75.008306	42.915611	75.008306	42.915611	1940571	1950369
75.008306	42.915611	48.288889	42.057778	1950369	1950432
48.288889	42.057778	48.288889	42.057778	1950432	1950514
48.288889	42.057778	44.7925	41.7225	1950514	1950523
44.7925	41.7225	44.7925	41.7225	1950523	1950790
44.7925	41.7225	47.123611	40.373611	1950790	1950797
47.123611	40.373611	47.123611	40.373611	1950797	1951643
47.123611	40.373611	44.5	39.883333	1951643	1951650
44.5	39.883333	44.5	39.883333	1951650	1951518
44.5	39.883333	87.329722	43.676944	1951518	1951619
87.329722	43.676944	87.329722	43.676944	1951619	1951649
