start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
135.80483	34.68509	135.80483	34.68509	1977825	1992799
135.80483	34.68509	135.80483	34.68509	1992799	1992800
135.80483	34.68509	135.80483	34.68509	1992800	1994257
135.80483	34.68509	136.9167	35.1667	1994257	1994261
136.9167	35.1667	136.9167	35.1667	1994261	1995718
136.9167	35.1667	135.80483	34.68509	1995718	1995722
135.80483	34.68509	135.80483	34.68509	1995722	1996817
135.80483	34.68509	135.80483	34.68509	1996817	1996818
135.80483	34.68509	135.80483	34.68509	1996818	1997913
135.80483	34.68509	135.80483	34.68509	1997913	1997914
135.80483	34.68509	135.80483	34.68509	1997914	1998643
135.80483	34.68509	135.80483	34.68509	1998643	1998644
135.80483	34.68509	135.80483	34.68509	1998644	1999739
135.80483	34.68509	135.80483	34.68509	1999739	1999740
135.80483	34.68509	135.80483	34.68509	1999740	2000103
135.80483	34.68509	135.5618168	34.7773564	2000103	2000105
135.5618168	34.7773564	135.5618168	34.7773564	2000105	2000468
135.5618168	34.7773564	135.80483	34.68509	2000468	2000470
135.80483	34.68509	135.80483	34.68509	2000470	2000835
135.80483	34.68509	135.80483	34.68509	2000835	2000836
135.80483	34.68509	135.80483	34.68509	2000836	2001930
135.80483	34.68509	135.80483	34.68509	2001930	2001931
135.80483	34.68509	135.80483	34.68509	2001931	2002295
135.80483	34.68509	135.80483	34.68509	2002295	2002296
135.80483	34.68509	135.80483	34.68509	2002296	2002661
135.80483	34.68509	135.80483	34.68509	2002661	2002662
135.80483	34.68509	135.80483	34.68509	2002662	2003026
135.80483	34.68509	135.80483	34.68509	2003026	2003027
135.80483	34.68509	135.80483	34.68509	2003027	2003391
135.80483	34.68509	135.80483	34.68509	2003391	2003392
135.80483	34.68509	135.80483	34.68509	2003392	2003756
135.80483	34.68509	135.80483	34.68509	2003756	2003757
135.80483	34.68509	135.80483	34.68509	2003757	2006678
135.80483	34.68509	135.80483	34.68509	2006678	2006679
135.80483	34.68509	135.80483	34.68509	2006679	2009515
135.80483	34.68509	135.80483	34.68509	2009515	2009516
135.80483	34.68509	135.80483	34.68509	2009516	2009546
