start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
134.695822	34.834681	134.695822	34.834681	1988783	1991714
134.695822	34.834681	130.760556	42.691944	1991714	1991735
130.760556	42.691944	130.760556	42.691944	1991735	1993873
130.760556	42.691944	135.807222	34.501944	1993873	1993896
135.807222	34.501944	135.807222	34.501944	1993896	1994260
135.807222	34.501944	135.807222	34.501944	1994260	1994261
135.807222	34.501944	135.807222	34.501944	1994261	1994990
135.807222	34.501944	135.862847	34.765614	1994990	1994992
135.862847	34.765614	135.862847	34.765614	1994992	1995353
135.862847	34.765614	134.695822	34.834681	1995353	1995357
134.695822	34.834681	134.695822	34.834681	1995357	1996451
134.695822	34.834681	134.39	34.75	1996451	1996453
134.39	34.75	134.39	34.75	1996453	1997182
134.39	34.75	134.39	34.75	1997182	1997183
134.39	34.75	134.39	34.75	1997183	1996568
134.39	34.75	136.551814	35.386958	1996568	1996574
136.551814	35.386958	136.551814	35.386958	1996574	1997910
136.551814	35.386958	135.807222	34.501944	1997910	1997914
135.807222	34.501944	135.807222	34.501944	1997914	1998278
135.807222	34.501944	135.807222	34.501944	1998278	1998279
135.807222	34.501944	135.807222	34.501944	1998279	1998643
135.807222	34.501944	135.807222	34.501944	1998643	1998644
135.807222	34.501944	135.807222	34.501944	1998644	2000048
135.807222	34.501944	133.918403	34.293603	2000048	2000053
133.918403	34.293603	133.918403	34.293603	2000053	2000083
