start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
77.25	42.416668	77.25	42.416668	1948971	1952202
77.25	42.416668	100.7	38.7	1952202	1952258
100.7	38.7	100.7	38.7	1952258	1952327
100.7	38.7	108.935	34.25	1952327	1952350
108.935	34.25	108.935	34.25	1952350	1952332
108.935	34.25	102.641944	37.928333	1952332	1952350
102.641944	37.928333	102.641944	37.928333	1952350	1952971
102.641944	37.928333	96	35	1952971	1952989
96	35	96	35	1952989	1955155
96	35	89.529167	42.852778	1955155	1955180
89.529167	42.852778	89.529167	42.852778	1955180	1955899
89.529167	42.852778	87.5	47.116667	1955899	1955911
87.5	47.116667	87.5	47.116667	1955911	1956921
87.5	47.116667	123.176111	41.278889	1956921	1957006
123.176111	41.278889	123.176111	41.278889	1957006	1958008
123.176111	41.278889	82.966667	41.716667	1958008	1958102
82.966667	41.716667	82.966667	41.716667	1958102	1958403
82.966667	41.716667	108.935	34.25	1958403	1958467
108.935	34.25	108.935	34.25	1958467	1961331
108.935	34.25	88.2	47.415	1961331	1961389
88.2	47.415	88.2	47.415	1961389	1965321
88.2	47.415	124	40	1965321	1965407
124	40	124	40	1965407	1965401
124	40	125.738052	39.019444	1965401	1965407
125.738052	39.019444	125.738052	39.019444	1965407	1968258
125.738052	39.019444	96	35	1968258	1968329
96	35	96	35	1968329	1968663
96	35	108.935	34.25	1968663	1968694
108.935	34.25	108.935	34.25	1968694	1968692
108.935	34.25	108.48335	34.63168	1968692	1968694
108.48335	34.63168	108.48335	34.63168	1968694	1968724
