start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
81.37	17.78	81.37	17.78	1954084	1958832
81.37	17.78	81.37	17.78	1958832	1958833
81.37	17.78	81.37	17.78	1958833	1958903
81.37	17.78	85.4426079	25.13662	1958903	1958924
85.4426079	25.13662	85.4426079	25.13662	1958924	1982572
85.4426079	25.13662	85.4426079	25.13662	1982572	1982573
85.4426079	25.13662	85.4426079	25.13662	1982573	1982647
85.4426079	25.13662	91.1	29.6	1982647	1982665
91.1	29.6	91.1	29.6	1982665	1982895
91.1	29.6	108.9701	34.0952	1982895	1982939
108.9701	34.0952	108.9701	34.0952	1982939	1983029
108.9701	34.0952	108.9701	34.0952	1983029	1983030
108.9701	34.0952	108.9701	34.0952	1983030	1989869
108.9701	34.0952	112.46972	34.55556	1989869	1989878
112.46972	34.55556	112.46972	34.55556	1989878	1989908
