start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
112.442223	34.669724	112.442223	34.669724	1941429	1944587
112.442223	34.669724	112.442223	34.669724	1944587	1944588
112.442223	34.669724	112.442223	34.669724	1944588	1947136
112.442223	34.669724	108.950278	34.164444	1947136	1947145
108.950278	34.164444	108.950278	34.164444	1947145	1947221
108.950278	34.164444	104.066667	30.666667	1947221	1947236
104.066667	30.666667	104.066667	30.666667	1947236	1948591
104.066667	30.666667	108.950278	34.164444	1948591	1948606
108.950278	34.164444	108.950278	34.164444	1948606	1951192
108.950278	34.164444	108.950278	34.164444	1951192	1951193
108.950278	34.164444	108.950278	34.164444	1951193	1951205
108.950278	34.164444	102.638931	37.934246	1951205	1951223
102.638931	37.934246	102.638931	37.934246	1951223	1951220
102.638931	37.934246	89.186667	42.951111	1951220	1951254
89.186667	42.951111	89.186667	42.951111	1951254	1951277
89.186667	42.951111	86.568333	42.058611	1951277	1951284
86.568333	42.058611	86.568333	42.058611	1951284	1951306
86.568333	42.058611	82.966667	41.716667	1951306	1951315
82.966667	41.716667	82.966667	41.716667	1951315	1951338
82.966667	41.716667	80.275902	41.176327	1951338	1951345
80.275902	41.176327	80.275902	41.176327	1951345	1951367
80.275902	41.176327	77.25	42.416667	1951367	1951376
77.25	42.416667	77.25	42.416667	1951376	1951552
77.25	42.416667	75.2833	42.8333	1951552	1951558
75.2833	42.8333	75.2833	42.8333	1951558	1951574
75.2833	42.8333	69.28	41.3111	1951574	1951589
69.28	41.3111	69.28	41.3111	1951589	1951611
69.28	41.3111	66.970139	39.652451	1951611	1951619
66.970139	39.652451	66.970139	39.652451	1951619	1951642
66.970139	39.652451	66.8972	36.7564	1951642	1951650
66.8972	36.7564	66.8972	36.7564	1951650	1951628
66.8972	36.7564	85.456177	25.122265	1951628	1951680
85.456177	25.122265	85.456177	25.122265	1951680	1956233
85.456177	25.122265	73	38	1956233	1956276
73	38	73	38	1956276	1956954
73	38	94.66188	40.142132	1956954	1957006
94.66188	40.142132	94.66188	40.142132	1957006	1956969
94.66188	40.142132	108.950278	34.164444	1956969	1957006
108.950278	34.164444	108.950278	34.164444	1957006	1957005
108.950278	34.164444	108.950278	34.164444	1957005	1957006
108.950278	34.164444	108.950278	34.164444	1957006	1964009
108.950278	34.164444	108.945	34.897222	1964009	1964012
108.945	34.897222	108.945	34.897222	1964012	1964042
