start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-91.32715	17.21652	-91.32715	17.21652	1977813	1988030
-91.32715	17.21652	-91.32715	17.21652	1988030	1988031
-91.32715	17.21652	-91.32715	17.21652	1988031	1995021
-91.32715	17.21652	-91.32715	17.21652	1995021	1995022
-91.32715	17.21652	-91.32715	17.21652	1995022	1995203
-91.32715	17.21652	-90.966	16.9	1995203	1995205
-90.966	16.9	-90.966	16.9	1995205	1996449
-90.966	16.9	-90.229744	15.776261	1996449	1996453
-90.229744	15.776261	-90.229744	15.776261	1996453	1998269
-90.229744	15.776261	-91.32715	17.21652	1998269	1998274
-91.32715	17.21652	-91.32715	17.21652	1998274	1998304
