start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
5.75	58.716667	5.75	58.716667	2068405	2071989
5.75	58.716667	-22.574925	66.39372	2071989	2072058
-22.574925	66.39372	-22.574925	66.39372	2072058	2075702
-22.574925	66.39372	-20.283889	64.311111	2075702	2075710
-20.283889	64.311111	-20.283889	64.311111	2075710	2079356
-20.283889	64.311111	-22.5167	65.1	2079356	2079363
-22.5167	65.1	-22.5167	65.1	2079363	2080241
-22.5167	65.1	-23.7733	64.8056	2080241	2080245
-23.7733	64.8056	-23.7733	64.8056	2080245	2080118
-23.7733	64.8056	-51.731158	64.183547	2080118	2080184
-51.731158	64.183547	-51.731158	64.183547	2080184	2080439
-51.731158	64.183547	-45.2433	60.1419	2080439	2080458
-45.2433	60.1419	-45.2433	60.1419	2080458	2080805
-45.2433	60.1419	-51.731158	64.183547	2080805	2080824
-51.731158	64.183547	-51.731158	64.183547	2080824	2081122
-51.731158	64.183547	-23.5	65	2081122	2081189
-23.5	65	-23.5	65	2081189	2081227
-23.5	65	-45.515	61.152222	2081227	2081280
-45.515	61.152222	-45.515	61.152222	2081280	2087762
-45.515	61.152222	-45.515	61.152222	2087762	2087763
-45.515	61.152222	-45.515	61.152222	2087763	2087793
