start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-19.56094	65.657217	-19.56094	65.657217	2079363	2083012
-19.56094	65.657217	-19.0208	64.9631	2083012	2083015
-19.0208	64.9631	-19.0208	64.9631	2083015	2085146
-19.0208	64.9631	6	59	2085146	2085207
6	59	6	59	2085207	2087277
6	59	-45.515	61.15222	2087277	2087398
-45.515	61.15222	-45.515	61.15222	2087398	2087762
-45.515	61.15222	-45.515	61.15222	2087762	2087763
-45.515	61.15222	-45.515	61.15222	2087763	2088127
-45.515	61.15222	-45.515	61.15222	2088127	2088128
-45.515	61.15222	-45.515	61.15222	2088128	2088160
-45.515	61.15222	-70	68	2088160	2088220
-70	68	-70	68	2088220	2088178
-70	68	-59.999167	53.23	2088178	2088220
-59.999167	53.23	-59.999167	53.23	2088220	2088208
-59.999167	53.23	-55.53333	51.59639	2088208	2088220
-55.53333	51.59639	-55.53333	51.59639	2088220	2088493
-55.53333	51.59639	-55.53333	51.59639	2088493	2088494
-55.53333	51.59639	-55.53333	51.59639	2088494	2089191
-55.53333	51.59639	-45.515	61.15222	2089191	2089224
-45.515	61.15222	-45.515	61.15222	2089224	2089527
-45.515	61.15222	-19.63333	65.71667	2089527	2089589
-19.63333	65.71667	-19.63333	65.71667	2089589	2089619
