start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
39.61	24.47	39.61	24.47	1949489	1953941
39.61	24.47	35.5734	32.6401	1953941	1953963
35.5734	32.6401	35.5734	32.6401	1953963	1955526
35.5734	32.6401	30	27	1955526	1955545
30	27	30	27	1955545	1957689
30	27	10	28	1957689	1957737
10	28	10	28	1957737	1958732
10	28	52.9094	29.9808	1958732	1958833
52.9094	29.9808	52.9094	29.9808	1958833	1970849
52.9094	29.9808	39.8261	21.4225	1970849	1970886
39.8261	21.4225	39.8261	21.4225	1970886	1974476
39.8261	21.4225	39.8261	21.4225	1974476	1974477
39.8261	21.4225	39.8261	21.4225	1974477	1974507
