ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
李白	Li Bai	75.19988	42.80522	75.19988	42.80522	1977460	1977599
李白	Li Bai	75.19988	42.80522	104.755	31.771	1977599	1977673
李白	Li Bai	104.755	31.771	104.755	31.771	1977673	1979285
李白	Li Bai	104.755	31.771	104.755	31.771	1979285	1979286
李白	Li Bai	104.755	31.771	104.755	31.771	1979286	1986225
李白	Li Bai	104.755	31.771	104.755	31.771	1986225	1986226
李白	Li Bai	104.755	31.771	104.755	31.771	1986226	1986307
李白	Li Bai	104.755	31.771	121.9831	31.3936	1986307	1986348
李白	Li Bai	121.9831	31.3936	121.9831	31.3936	1986348	1986432
李白	Li Bai	121.9831	31.3936	119.4128	32.3944	1986432	1986439
李白	Li Bai	119.4128	32.3944	119.4128	32.3944	1986439	1986527
李白	Li Bai	119.4128	32.3944	118.7789	32.0608	1986527	1986530
李白	Li Bai	118.7789	32.0608	118.7789	32.0608	1986530	1986943
李白	Li Bai	118.7789	32.0608	113.67833	31.2575	1986943	1986956
李白	Li Bai	113.67833	31.2575	113.67833	31.2575	1986956	1989857
李白	Li Bai	113.67833	31.2575	119.162	37.763	1989857	1989878
李白	Li Bai	119.162	37.763	119.162	37.763	1989878	1992409
李白	Li Bai	119.162	37.763	108.9	34.2667	1992409	1992435
李白	Li Bai	108.9	34.2667	108.9	34.2667	1992435	1993164
李白	Li Bai	108.9	34.2667	108.9	34.2667	1993164	1993165
李白	Li Bai	108.9	34.2667	108.9	34.2667	1993165	1993369
李白	Li Bai	108.9	34.2667	112.4539	34.6197	1993369	1993378
李白	Li Bai	112.4539	34.6197	112.4539	34.6197	1993378	1997540
李白	Li Bai	112.4539	34.6197	114	31.85	1997540	1997548
李白	Li Bai	114	31.85	114	31.85	1997548	1997894
李白	Li Bai	114	31.85	106.7856	28.4017	1997894	1997914
李白	Li Bai	106.7856	28.4017	106.7856	28.4017	1997914	1999361
李白	Li Bai	106.7856	28.4017	108	34	1999361	1999375
李白	Li Bai	108	34	108	34	1999375	1999714
李白	Li Bai	108	34	118.4981	31.5711	1999714	1999740
李白	Li Bai	118.4981	31.5711	118.4981	31.5711	1999740	1999952
李白	Li Bai	118.4981	31.5711	118.4981	31.5711	1999952	1999953
李白	Li Bai	118.4981	31.5711	118.4981	31.5711	1999953	1999983
