ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
王縉	Wang Jin	111.00753	35.026413	111.00753	35.026413	1977095	1984394
王縉	Wang Jin	111.00753	35.026413	108.93	34.25	1984394	1984400
王縉	Wang Jin	108.93	34.25	108.93	34.25	1984400	1997170
王縉	Wang Jin	108.93	34.25	112.548879	37.87059	1997170	1997183
王縉	Wang Jin	112.548879	37.87059	112.548879	37.87059	1997183	1998993
王縉	Wang Jin	112.548879	37.87059	107.1645	34.37246	1998993	1999009
王縉	Wang Jin	107.1645	34.37246	107.1645	34.37246	1999009	2000457
王縉	Wang Jin	107.1645	34.37246	112.442223	34.669724	2000457	2000470
王縉	Wang Jin	112.442223	34.669724	112.442223	34.669724	2000470	2001192
王縉	Wang Jin	112.442223	34.669724	108.93	34.25	2001192	2001201
王縉	Wang Jin	108.93	34.25	108.93	34.25	2001201	2002661
王縉	Wang Jin	108.93	34.25	108.93	34.25	2002661	2002662
王縉	Wang Jin	108.93	34.25	108.93	34.25	2002662	2000469
王縉	Wang Jin	108.93	34.25	108.93	34.25	2000469	2000470
王縉	Wang Jin	108.93	34.25	108.93	34.25	2000470	2005188
王縉	Wang Jin	108.93	34.25	119.923055	28.468055	2005188	2005218
王縉	Wang Jin	119.923055	28.468055	119.923055	28.468055	2005218	2005925
王縉	Wang Jin	119.923055	28.468055	112.442223	34.669724	2005925	2005949
王縉	Wang Jin	112.442223	34.669724	112.442223	34.669724	2005949	2007075
王縉	Wang Jin	112.442223	34.669724	112.442223	34.669724	2007075	2007076
王縉	Wang Jin	112.442223	34.669724	112.442223	34.669724	2007076	2007106
