en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Kubrat	27.8333	43.5333	27.8333	43.5333	1937283	1947503
Kubrat	27.8333	43.5333	28.976018	41.01224	1947503	1947510
Kubrat	28.976018	41.01224	28.976018	41.01224	1947510	1952237
Kubrat	28.976018	41.01224	36.7003	45.2281	1952237	1952258
Kubrat	36.7003	45.2281	36.7003	45.2281	1952258	1953353
Kubrat	36.7003	45.2281	36.7003	45.2281	1953353	1953354
Kubrat	36.7003	45.2281	36.7003	45.2281	1953354	1959927
Kubrat	36.7003	45.2281	36.7003	45.2281	1959927	1959928
Kubrat	36.7003	45.2281	36.7003	45.2281	1959928	1960008
Kubrat	36.7003	45.2281	34.5792	49.3893	1960008	1960020
Kubrat	34.5792	49.3893	34.5792	49.3893	1960020	1960050
