en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Pope Adrian I	12.496	41.9028	12.496	41.9028	1977095	2003453
Pope Adrian I	12.496	41.9028	12.496	41.9028	2003453	2003454
Pope Adrian I	12.496	41.9028	12.496	41.9028	2003454	2003461
Pope Adrian I	12.496	41.9028	12.496	41.9028	2003461	2003462
Pope Adrian I	12.496	41.9028	12.496	41.9028	2003462	2003532
Pope Adrian I	12.496	41.9028	9.15	45.183334	2003532	2003544
Pope Adrian I	9.15	45.183334	9.15	45.183334	2003544	2003654
Pope Adrian I	9.15	45.183334	12.496	41.9028	2003654	2003666
Pope Adrian I	12.496	41.9028	12.496	41.9028	2003666	2003745
Pope Adrian I	12.496	41.9028	9.15	45.183334	2003745	2003757
Pope Adrian I	9.15	45.183334	9.15	45.183334	2003757	2004122
Pope Adrian I	9.15	45.183334	9.15	45.183334	2004122	2004123
Pope Adrian I	9.15	45.183334	9.15	45.183334	2004123	2004255
Pope Adrian I	9.15	45.183334	2.508056	49.909722	2004255	2004275
Pope Adrian I	2.508056	49.909722	2.508056	49.909722	2004275	2004366
Pope Adrian I	2.508056	49.909722	12.496	41.9028	2004366	2004397
Pope Adrian I	12.496	41.9028	12.496	41.9028	2004397	2008830
Pope Adrian I	12.496	41.9028	29.7195	40.429	2008830	2008871
Pope Adrian I	29.7195	40.429	29.7195	40.429	2008871	2012142
Pope Adrian I	29.7195	40.429	12.496	41.9028	2012142	2012183
Pope Adrian I	12.496	41.9028	12.496	41.9028	2012183	2012213
