en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Saint Judicael	-3	48	-3	48	1936918	1942394
Saint Judicael	-3	48	-2.219999	48.133056	1942394	1942397
Saint Judicael	-2.219999	48.133056	-2.219999	48.133056	1942397	1946046
Saint Judicael	-2.219999	48.133056	-3	48	1946046	1946049
Saint Judicael	-3	48	-3	48	1946049	1953340
Saint Judicael	-3	48	2.3064	48.9044	1953340	1953354
Saint Judicael	2.3064	48.9044	2.3064	48.9044	1953354	1955899
Saint Judicael	2.3064	48.9044	-2.219999	48.133056	1955899	1955911
Saint Judicael	-2.219999	48.133056	-2.219999	48.133056	1955911	1956001
Saint Judicael	-2.219999	48.133056	-2.169722	48.018889	1956001	1956002
Saint Judicael	-2.169722	48.018889	-2.169722	48.018889	1956002	1958117
Saint Judicael	-2.169722	48.018889	-2.219999	48.133056	1958117	1958118
Saint Judicael	-2.219999	48.133056	-2.219999	48.133056	1958118	1958148
