en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Saint Malo	-3.3656	51.4242	-3.3656	51.4242	1911469	1915003
Saint Malo	-3.3656	51.4242	-3.3656	51.4242	1915003	1915004
Saint Malo	-3.3656	51.4242	-3.3656	51.4242	1915004	1920109
Saint Malo	-3.3656	51.4242	-2.030556	48.633889	1920109	1920117
Saint Malo	-2.030556	48.633889	-2.030556	48.633889	1920117	1922288
Saint Malo	-2.030556	48.633889	-10	50	1922288	1922308
Saint Malo	-10	50	-10	50	1922308	1925941
Saint Malo	-10	50	-2.071389	48.676667	1925941	1925961
Saint Malo	-2.071389	48.676667	-2.071389	48.676667	1925961	1929588
Saint Malo	-2.071389	48.676667	-3	59	1929588	1929613
Saint Malo	-3	59	-3	59	1929613	1933262
Saint Malo	-3	59	-2	59.833333	1933262	1933266
Saint Malo	-2	59.833333	-2	59.833333	1933266	1936891
Saint Malo	-2	59.833333	-2.030556	48.633889	1936891	1936918
Saint Malo	-2.030556	48.633889	-2.030556	48.633889	1936918	1940563
Saint Malo	-2.030556	48.633889	-0.633333	45.75	1940563	1940571
Saint Malo	-0.633333	45.75	-0.633333	45.75	1940571	1944215
Saint Malo	-0.633333	45.75	-2.030556	48.633889	1944215	1944223
Saint Malo	-2.030556	48.633889	-2.030556	48.633889	1944223	1947871
Saint Malo	-2.030556	48.633889	-1.38	47.2825	1947871	1947875
Saint Malo	-1.38	47.2825	-1.38	47.2825	1947875	1958813
Saint Malo	-1.38	47.2825	-0.704722	45.931667	1958813	1958818
Saint Malo	-0.704722	45.931667	-0.704722	45.931667	1958818	1958462
Saint Malo	-0.704722	45.931667	-1.5528	47.218102	1958462	1958467
Saint Malo	-1.5528	47.218102	-1.5528	47.218102	1958467	1958497
