ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
ヘラクレイオス	Heraclius	34.846306	38.640388	34.846306	38.640388	1931439	1943434
ヘラクレイオス	Heraclius	34.846306	38.640388	10.3233	36.8528	1943434	1943492
ヘラクレイオス	Heraclius	10.3233	36.8528	10.3233	36.8528	1943492	1944487
ヘラクレイオス	Heraclius	10.3233	36.8528	28.9848	41.0045	1944487	1944532
ヘラクレイオス	Heraclius	28.9848	41.0045	28.9848	41.0045	1944532	1945294
ヘラクレイオス	Heraclius	28.9848	41.0045	36.2919	33.5131	1945294	1945319
ヘラクレイオス	Heraclius	36.2919	33.5131	36.2919	33.5131	1945319	1945678
ヘラクレイオス	Heraclius	36.2919	33.5131	35.2137	31.7683	1945678	1945684
ヘラクレイオス	Heraclius	35.2137	31.7683	35.2137	31.7683	1945684	1947491
ヘラクレイオス	Heraclius	35.2137	31.7683	29	27	1947491	1947510
ヘラクレイオス	Heraclius	29	27	29	27	1947510	1948698
ヘラクレイオス	Heraclius	29	27	28.9848	41.0045	1948698	1948732
ヘラクレイオス	Heraclius	28.9848	41.0045	28.9848	41.0045	1948732	1948695
ヘラクレイオス	Heraclius	28.9848	41.0045	29.165	40.392	1948695	1948697
ヘラクレイオス	Heraclius	29.165	40.392	29.165	40.392	1948697	1948682
ヘラクレイオス	Heraclius	29.165	40.392	34.846306	38.640388	1948682	1948697
ヘラクレイオス	Heraclius	34.846306	38.640388	34.846306	38.640388	1948697	1949677
ヘラクレイオス	Heraclius	34.846306	38.640388	45.111108	40.066181	1949677	1949702
ヘラクレイオス	Heraclius	45.111108	40.066181	45.111108	40.066181	1949702	1950210
ヘラクレイオス	Heraclius	45.111108	40.066181	28.9848	41.0045	1950210	1950249
ヘラクレイオス	Heraclius	28.9848	41.0045	28.9848	41.0045	1950249	1950773
ヘラクレイオス	Heraclius	28.9848	41.0045	43.152778	36.359444	1950773	1950809
ヘラクレイオス	Heraclius	43.152778	36.359444	43.152778	36.359444	1950809	1950761
ヘラクレイオス	Heraclius	43.152778	36.359444	28.9848	41.0045	1950761	1950797
ヘラクレイオス	Heraclius	28.9848	41.0045	28.9848	41.0045	1950797	1952596
ヘラクレイオス	Heraclius	28.9848	41.0045	38.8	34.8	1952596	1952624
ヘラクレイオス	Heraclius	38.8	34.8	38.8	34.8	1952624	1953189
ヘラクレイオス	Heraclius	38.8	34.8	34.8983	31.6053	1953189	1953202
ヘラクレイオス	Heraclius	34.8983	31.6053	34.8983	31.6053	1953202	1953257
ヘラクレイオス	Heraclius	34.8983	31.6053	36.2919	33.5131	1953257	1953263
ヘラクレイオス	Heraclius	36.2919	33.5131	36.2919	33.5131	1953263	1953257
ヘラクレイオス	Heraclius	36.2919	33.5131	36.24	35.6	1953257	1953263
ヘラクレイオス	Heraclius	36.24	35.6	36.24	35.6	1953263	1953970
ヘラクレイオス	Heraclius	36.24	35.6	35.5734	32.6401	1953970	1953978
ヘラクレイオス	Heraclius	35.5734	32.6401	35.5734	32.6401	1953978	1954075
ヘラクレイオス	Heraclius	35.5734	32.6401	36.0938	36.1217	1954075	1954084
ヘラクレイオス	Heraclius	36.0938	36.1217	36.0938	36.1217	1954084	1954426
ヘラクレイオス	Heraclius	36.0938	36.1217	45.111108	40.066181	1954426	1954450
ヘラクレイオス	Heraclius	45.111108	40.066181	45.111108	40.066181	1954450	1955131
ヘラクレイオス	Heraclius	45.111108	40.066181	29	27	1955131	1955180
ヘラクレイオス	Heraclius	29	27	29	27	1955180	1955583
ヘラクレイオス	Heraclius	29	27	28.9848	41.0045	1955583	1955617
ヘラクレイオス	Heraclius	28.9848	41.0045	28.9848	41.0045	1955617	1955647
