en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Suhayb ibn Sinan	43.13	36.34	43.13	36.34	1937649	1939457
Suhayb ibn Sinan	43.13	36.34	47.783489	30.508102	1939457	1939475
Suhayb ibn Sinan	47.783489	30.508102	47.783489	30.508102	1939475	1940884
Suhayb ibn Sinan	47.783489	30.508102	28.5848	41.0045	1940884	1940936
Suhayb ibn Sinan	28.5848	41.0045	28.5848	41.0045	1940936	1942373
Suhayb ibn Sinan	28.5848	41.0045	29.924526	31.205753	1942373	1942397
Suhayb ibn Sinan	29.924526	31.205753	29.924526	31.205753	1942397	1943810
Suhayb ibn Sinan	29.924526	31.205753	10.3233	36.8528	1943810	1943858
Suhayb ibn Sinan	10.3233	36.8528	10.3233	36.8528	1943858	1945287
Suhayb ibn Sinan	10.3233	36.8528	22.5	31	1945287	1945319
Suhayb ibn Sinan	22.5	31	22.5	31	1945319	1946733
Suhayb ibn Sinan	22.5	31	39.8262	21.4225	1946733	1946780
Suhayb ibn Sinan	39.8262	21.4225	39.8262	21.4225	1946780	1947509
Suhayb ibn Sinan	39.8262	21.4225	39.8262	21.4225	1947509	1947510
Suhayb ibn Sinan	39.8262	21.4225	39.8262	21.4225	1947510	1948598
Suhayb ibn Sinan	39.8262	21.4225	39.617222	24.439167	1948598	1948606
Suhayb ibn Sinan	39.617222	24.439167	39.617222	24.439167	1948606	1948818
Suhayb ibn Sinan	39.617222	24.439167	39.7	24.55	1948818	1948819
Suhayb ibn Sinan	39.7	24.55	39.7	24.55	1948819	1962211
Suhayb ibn Sinan	39.7	24.55	39.7	24.55	1962211	1962212
Suhayb ibn Sinan	39.7	24.55	39.7	24.55	1962212	1962226
Suhayb ibn Sinan	39.7	24.55	39.616389	24.466944	1962226	1962227
Suhayb ibn Sinan	39.616389	24.466944	39.616389	24.466944	1962227	1962257
