start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
28.98	41.008056	28.98	41.008056	1955576	1955697
28.98	41.008056	29.025789	40.983393	1955697	1955698
29.025789	40.983393	29.025789	40.983393	1955698	1955818
29.025789	40.983393	28.98	41.008056	1955818	1955819
28.98	41.008056	28.98	41.008056	1955819	1955940
28.98	41.008056	28.98	41.008056	1955940	1955941
28.98	41.008056	28.98	41.008056	1955941	1956275
28.98	41.008056	28.98	41.008056	1956275	1956276
28.98	41.008056	28.98	41.008056	1956276	1956640
28.98	41.008056	28.98	41.008056	1956640	1956641
28.98	41.008056	28.98	41.008056	1956641	1960293
28.98	41.008056	28.98	41.008056	1960293	1960294
28.98	41.008056	28.98	41.008056	1960294	1960324
