en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Æthelred of Mercia	-1.695	52.633	-1.695	52.633	2037360	2043198
Æthelred of Mercia	-1.695	52.633	-3.827	53.28	2043198	2043204
Æthelred of Mercia	-3.827	53.28	-3.827	53.28	2043204	2043928
Æthelred of Mercia	-3.827	53.28	-2.457	51.687	2043928	2043934
Æthelred of Mercia	-2.457	51.687	-2.457	51.687	2043934	2045024
Æthelred of Mercia	-2.457	51.687	-0.1278	51.5074	2045024	2045030
Æthelred of Mercia	-0.1278	51.5074	-0.1278	51.5074	2045030	2047578
Æthelred of Mercia	-0.1278	51.5074	-3.16	52.65	2047578	2047587
Æthelred of Mercia	-3.16	52.65	-3.16	52.65	2047587	2049044
Æthelred of Mercia	-3.16	52.65	-2.2447	51.8654	2049044	2049048
Æthelred of Mercia	-2.2447	51.8654	-2.2447	51.8654	2049048	2050506
Æthelred of Mercia	-2.2447	51.8654	-2.22	52.192	2050506	2050508
Æthelred of Mercia	-2.22	52.192	-2.22	52.192	2050508	2051965
Æthelred of Mercia	-2.22	52.192	-2.89	53.197	2051965	2051969
Æthelred of Mercia	-2.89	53.197	-2.89	53.197	2051969	2053423
Æthelred of Mercia	-2.89	53.197	-0.333611	53.220389	2053423	2053430
Æthelred of Mercia	-0.333611	53.220389	-0.333611	53.220389	2053430	2054155
Æthelred of Mercia	-0.333611	53.220389	-2.2447	51.8654	2054155	2054161
Æthelred of Mercia	-2.2447	51.8654	-2.2447	51.8654	2054161	2054191
