en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Eanfrith of Bernicia	-1.709	55.608	-1.709	55.608	1936918	1946404
Eanfrith of Bernicia	-1.709	55.608	-5.4786	56.0861	1946404	1946414
Eanfrith of Bernicia	-5.4786	56.0861	-5.4786	56.0861	1946414	1946622
Eanfrith of Bernicia	-5.4786	56.0861	-4.2247	57.4778	1946622	1946627
Eanfrith of Bernicia	-4.2247	57.4778	-4.2247	57.4778	1946627	1952916
Eanfrith of Bernicia	-4.2247	57.4778	-0.893	53.528	1952916	1952929
Eanfrith of Bernicia	-0.893	53.528	-0.893	53.528	1952929	1952938
Eanfrith of Bernicia	-0.893	53.528	-1.709	55.608	1952938	1952944
Eanfrith of Bernicia	-1.709	55.608	-1.709	55.608	1952944	1952986
Eanfrith of Bernicia	-1.709	55.608	-2.1005	55.019	1952986	1952989
Eanfrith of Bernicia	-2.1005	55.019	-2.1005	55.019	1952989	1953019
