en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Oswiu	-1.709	55.608	-1.709	55.608	1944953	1946408
Oswiu	-1.709	55.608	-0.9981	53.4394	1946408	1946414
Oswiu	-0.9981	53.4394	-0.9981	53.4394	1946414	1947862
Oswiu	-0.9981	53.4394	-5.478425	56.086019	1947862	1947875
Oswiu	-5.478425	56.086019	-5.478425	56.086019	1947875	1949331
Oswiu	-5.478425	56.086019	-4.224721	57.477772	1949331	1949336
Oswiu	-4.224721	57.477772	-4.224721	57.477772	1949336	1950790
Oswiu	-4.224721	57.477772	-6.42	56.33	1950790	1950797
Oswiu	-6.42	56.33	-6.42	56.33	1950797	1952609
Oswiu	-6.42	56.33	-0.893	53.528	1952609	1952624
Oswiu	-0.893	53.528	-0.893	53.528	1952624	1955905
Oswiu	-0.893	53.528	-3.0538	52.8598	1955905	1955911
Oswiu	-3.0538	52.8598	-3.0538	52.8598	1955911	1956116
Oswiu	-3.0538	52.8598	-1.709	55.608	1956116	1956124
Oswiu	-1.709	55.608	-1.709	55.608	1956124	1956628
Oswiu	-1.709	55.608	1.08	51.279999	1956628	1956641
Oswiu	1.08	51.279999	1.08	51.279999	1956641	1959189
Oswiu	1.08	51.279999	-1.05919	54.18523	1959189	1959198
Oswiu	-1.05919	54.18523	-1.05919	54.18523	1959198	1959410
Oswiu	-1.05919	54.18523	-1.05919	54.18523	1959410	1959411
Oswiu	-1.05919	54.18523	-1.05919	54.18523	1959411	1959926
Oswiu	-1.05919	54.18523	-1.08958	53.95887	1959926	1959928
Oswiu	-1.08958	53.95887	-1.08958	53.95887	1959928	1961007
Oswiu	-1.08958	53.95887	-1.548567	53.801277	1961007	1961009
Oswiu	-1.548567	53.801277	-1.548567	53.801277	1961009	1961051
Oswiu	-1.548567	53.801277	-1.695	52.633	1961051	1961055
Oswiu	-1.695	52.633	-1.695	52.633	1961055	1961172
Oswiu	-1.695	52.633	-0.538611	53.234444	1961172	1961176
Oswiu	-0.538611	53.234444	-0.538611	53.234444	1961176	1961295
Oswiu	-0.538611	53.234444	-1.08958	53.95887	1961295	1961298
Oswiu	-1.08958	53.95887	-1.08958	53.95887	1961298	1961386
Oswiu	-1.08958	53.95887	-0.608	54.489	1961386	1961389
Oswiu	-0.608	54.489	-0.608	54.489	1961389	1961752
Oswiu	-0.608	54.489	-1.52	54.136	1961752	1961755
Oswiu	-1.52	54.136	-1.52	54.136	1961755	1963943
Oswiu	-1.52	54.136	-0.608	54.489	1963943	1963946
Oswiu	-0.608	54.489	-0.608	54.489	1963946	1964083
Oswiu	-0.608	54.489	2.8231	49.414902	1964083	1964098
Oswiu	2.8231	49.414902	2.8231	49.414902	1964098	1964191
Oswiu	2.8231	49.414902	12.496366	41.902782	1964191	1964220
Oswiu	12.496366	41.902782	12.496366	41.902782	1964220	1961713
Oswiu	12.496366	41.902782	-1.695	52.633	1961713	1961755
Oswiu	-1.695	52.633	-1.695	52.633	1961755	1966206
Oswiu	-1.695	52.633	-2	55.166667	1966206	1966213
Oswiu	-2	55.166667	-2	55.166667	1966213	1966346
Oswiu	-2	55.166667	-0.608	54.489	1966346	1966351
Oswiu	-0.608	54.489	-0.608	54.489	1966351	1966429
Oswiu	-0.608	54.489	12.496366	41.902782	1966429	1966472
Oswiu	12.496366	41.902782	12.496366	41.902782	1966472	1966502
