en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Wihtred of Kent	0.7	51.2	0.7	51.2	1966137	1971615
Wihtred of Kent	0.7	51.2	0.7	51.2	1971615	1971616
Wihtred of Kent	0.7	51.2	0.7	51.2	1971616	1971980
Wihtred of Kent	0.7	51.2	0.7	51.2	1971980	1971981
Wihtred of Kent	0.7	51.2	0.7	51.2	1971981	1972346
Wihtred of Kent	0.7	51.2	0.7	51.2	1972346	1972347
Wihtred of Kent	0.7	51.2	0.7	51.2	1972347	1973441
Wihtred of Kent	0.7	51.2	0.7	51.2	1973441	1973442
Wihtred of Kent	0.7	51.2	0.7	51.2	1973442	1974902
Wihtred of Kent	0.7	51.2	0.7	51.2	1974902	1974903
Wihtred of Kent	0.7	51.2	0.7	51.2	1974903	1975115
Wihtred of Kent	0.7	51.2	0.7	51.2	1975115	1975116
Wihtred of Kent	0.7	51.2	0.7	51.2	1975116	1975547
Wihtred of Kent	0.7	51.2	0.578956	51.274435	1975547	1975548
Wihtred of Kent	0.578956	51.274435	0.578956	51.274435	1975548	1986370
Wihtred of Kent	0.578956	51.274435	0.7	51.2	1986370	1986371
Wihtred of Kent	0.7	51.2	0.7	51.2	1986371	1986401
