en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Grimoald	13.42861	46.09019	13.42861	46.09019	1944223	1944586
Grimoald	13.42861	46.09019	13.140688	46.109833	1944586	1944588
Grimoald	13.140688	46.109833	13.140688	46.109833	1944588	1946036
Grimoald	13.140688	46.109833	14.7833	41.1333	1946036	1946049
Grimoald	14.7833	41.1333	14.7833	41.1333	1946049	1955544
Grimoald	14.7833	41.1333	14.7833	41.1333	1955544	1955545
Grimoald	14.7833	41.1333	14.7833	41.1333	1955545	1957736
Grimoald	14.7833	41.1333	14.7833	41.1333	1957736	1957737
Grimoald	14.7833	41.1333	14.7833	41.1333	1957737	1958829
Grimoald	14.7833	41.1333	15.966667	41.7	1958829	1958833
Grimoald	15.966667	41.7	15.966667	41.7	1958833	1962831
Grimoald	15.966667	41.7	9.15	45.183334	1962831	1962850
Grimoald	9.15	45.183334	9.15	45.183334	1962850	1963000
Grimoald	9.15	45.183334	9.18854	45.464664	1963000	1963002
Grimoald	9.18854	45.464664	9.18854	45.464664	1963002	1963119
Grimoald	9.18854	45.464664	7.674094	45.067812	1963119	1963124
Grimoald	7.674094	45.067812	7.674094	45.067812	1963124	1963212
Grimoald	7.674094	45.067812	9.15	45.183334	1963212	1963216
Grimoald	9.15	45.183334	9.15	45.183334	1963216	1963367
Grimoald	9.15	45.183334	9.15	45.183334	1963367	1963368
Grimoald	9.15	45.183334	9.15	45.183334	1963368	1963472
Grimoald	9.15	45.183334	14.7833	41.1333	1963472	1963489
Grimoald	14.7833	41.1333	14.7833	41.1333	1963489	1963580
Grimoald	14.7833	41.1333	14.7833	41.1333	1963580	1963581
Grimoald	14.7833	41.1333	14.7833	41.1333	1963581	1964304
Grimoald	14.7833	41.1333	17.2431	40.4667	1964304	1964311
Grimoald	17.2431	40.4667	17.2431	40.4667	1964311	1964521
Grimoald	17.2431	40.4667	17.9333	40.6333	1964521	1964524
Grimoald	17.9333	40.6333	17.9333	40.6333	1964524	1965390
Grimoald	17.9333	40.6333	12.0333	44.2167	1965390	1965407
Grimoald	12.0333	44.2167	12.0333	44.2167	1965407	1965615
Grimoald	12.0333	44.2167	12.4881	45.78	1965615	1965620
Grimoald	12.4881	45.78	12.4881	45.78	1965620	1965769
Grimoald	12.4881	45.78	13.140688	46.109833	1965769	1965772
Grimoald	13.140688	46.109833	13.140688	46.109833	1965772	1966136
Grimoald	13.140688	46.109833	13.262911	46.197184	1966136	1966137
Grimoald	13.262911	46.197184	13.262911	46.197184	1966137	1966279
Grimoald	13.262911	46.197184	12.56738	41.87194	1966279	1966290
Grimoald	12.56738	41.87194	12.56738	41.87194	1966290	1966408
Grimoald	12.56738	41.87194	12.7333	42.7333	1966408	1966411
Grimoald	12.7333	42.7333	12.7333	42.7333	1966411	1966492
Grimoald	12.7333	42.7333	9.15	45.183334	1966492	1966503
Grimoald	9.15	45.183334	9.15	45.183334	1966503	1966533
