en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Gundeberga	9.266667	45.583332	9.266667	45.583332	1937283	1950062
Gundeberga	9.266667	45.583332	7.674094	45.067812	1950062	1950067
Gundeberga	7.674094	45.067812	7.674094	45.067812	1950067	1951159
Gundeberga	7.674094	45.067812	8.8	45.117	1951159	1951163
Gundeberga	8.8	45.117	8.8	45.117	1951163	1952257
Gundeberga	8.8	45.117	8.8	45.117	1952257	1952258
Gundeberga	8.8	45.117	8.8	45.117	1952258	1953717
Gundeberga	8.8	45.117	9.15	45.183334	1953717	1953719
Gundeberga	9.15	45.183334	9.15	45.183334	1953719	1959562
Gundeberga	9.15	45.183334	9.15	45.183334	1959562	1959563
Gundeberga	9.15	45.183334	9.15	45.183334	1959563	1959927
Gundeberga	9.15	45.183334	9.152722	45.186514	1959927	1959928
Gundeberga	9.152722	45.186514	9.152722	45.186514	1959928	1959958
