en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Adomnán	-8.174167	54.578333	-8.174167	54.578333	2416041	2416040
Adomnán	-8.174167	54.578333	-8.174167	54.578333	2416040	2416041
Adomnán	-8.174167	54.578333	-8.174167	54.578333	2416041	2416059
Adomnán	-8.174167	54.578333	-6.41	56.33	2416059	2416066
Adomnán	-6.41	56.33	-6.41	56.33	2416066	1969424
Adomnán	-6.41	56.33	-6.41	56.33	1969424	1969425
Adomnán	-6.41	56.33	-6.41	56.33	1969425	1971962
Adomnán	-6.41	56.33	1.3875	54.915278	1971962	1971981
Adomnán	1.3875	54.915278	1.3875	54.915278	1971981	1972065
Adomnán	1.3875	54.915278	-1.49	54.981389	1972065	1972073
Adomnán	-1.49	54.981389	-1.49	54.981389	1972073	1969408
Adomnán	-1.49	54.981389	-7.9133	53.0914	1969408	1969425
Adomnán	-7.9133	53.0914	-7.9133	53.0914	1969425	1975998
Adomnán	-7.9133	53.0914	-7.9133	53.0914	1975998	1975999
Adomnán	-7.9133	53.0914	-7.9133	53.0914	1975999	1976089
Adomnán	-7.9133	53.0914	-7.9133	53.0914	1976089	1976090
Adomnán	-7.9133	53.0914	-7.9133	53.0914	1976090	1978844
Adomnán	-7.9133	53.0914	-6.41	56.33	1978844	1978853
Adomnán	-6.41	56.33	-6.41	56.33	1978853	1978883
