en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Æbbe of Coldingham	-2	55.166667	-2	55.166667	2416031	2416023
Æbbe of Coldingham	-2	55.166667	-5.478611	56.086111	2416023	2416032
Æbbe of Coldingham	-5.478611	56.086111	-5.478611	56.086111	2416032	2416041
Æbbe of Coldingham	-5.478611	56.086111	-2	55.166667	2416041	2416050
Æbbe of Coldingham	-2	55.166667	-2	55.166667	2416050	1955909
Æbbe of Coldingham	-2	55.166667	-1.842494	54.895033	1955909	1955911
Æbbe of Coldingham	-1.842494	54.895033	-1.842494	54.895033	1955911	1955999
Æbbe of Coldingham	-1.842494	54.895033	-2.13229	55.89951	1955999	1956002
Æbbe of Coldingham	-2.13229	55.89951	-2.13229	55.89951	1956002	1966136
Æbbe of Coldingham	-2.13229	55.89951	-2.13229	55.89951	1966136	1966137
Æbbe of Coldingham	-2.13229	55.89951	-2.13229	55.89951	1966137	1970885
Æbbe of Coldingham	-2.13229	55.89951	-2.13229	55.89951	1970885	1970886
Æbbe of Coldingham	-2.13229	55.89951	-2.13229	55.89951	1970886	1970976
Æbbe of Coldingham	-2.13229	55.89951	-2.13229	55.89951	1970976	1970977
Æbbe of Coldingham	-2.13229	55.89951	-2.13229	55.89951	1970977	1971007
