start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-4.566667	55.95	-4.566667	55.95	1950797	1956268
-4.566667	55.95	-1.709887	55.609157	1956268	1956276
-1.709887	55.609157	-1.709887	55.609157	1956276	1966496
-1.709887	55.609157	-3.497733	57.703506	1966496	1966503
-3.497733	57.703506	-3.497733	57.703506	1966503	1969786
-3.497733	57.703506	-2.197	56.946	1969786	1969790
-2.197	56.946	-2.197	56.946	1969790	1970514
-2.197	56.946	-3	59	1970514	1970520
-3	59	-3	59	1970520	1970604
-3	59	-4.09204	56.381497	1970604	1970612
-4.09204	56.381497	-4.09204	56.381497	1970612	1971784
-4.09204	56.381497	-2.8891	56.6441	1971784	1971788
-2.8891	56.6441	-2.8891	56.6441	1971788	1971785
-2.8891	56.6441	-3.950359	57.118044	1971785	1971789
-3.950359	57.118044	-3.950359	57.118044	1971789	1974166
-3.950359	57.118044	-6.39	56.336389	1974166	1974173
-6.39	56.336389	-6.39	56.336389	1974173	1974203
