en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Brunhilda of Austrasia	-4.02263	39.8581	-4.02263	39.8581	1919752	1928484
Brunhilda of Austrasia	-4.02263	39.8581	6.17269	49.11911	1928484	1928517
Brunhilda of Austrasia	6.17269	49.11911	6.17269	49.11911	1928517	1930699
Brunhilda of Austrasia	6.17269	49.11911	2.349014	48.864716	1930699	1930709
Brunhilda of Austrasia	2.349014	48.864716	2.349014	48.864716	1930709	1931433
Brunhilda of Austrasia	2.349014	48.864716	3.3888	50.6052	1931433	1931439
Brunhilda of Austrasia	3.3888	50.6052	3.3888	50.6052	1931439	1931529
Brunhilda of Austrasia	3.3888	50.6052	2.98194	50.32389	1931529	1931531
Brunhilda of Austrasia	2.98194	50.32389	2.98194	50.32389	1931531	1931525
Brunhilda of Austrasia	2.98194	50.32389	1.088611	49.442778	1931525	1931531
Brunhilda of Austrasia	1.088611	49.442778	1.088611	49.442778	1931531	1931804
Brunhilda of Austrasia	1.088611	49.442778	1.088611	49.442778	1931804	1931805
Brunhilda of Austrasia	1.088611	49.442778	1.088611	49.442778	1931805	1931891
Brunhilda of Austrasia	1.088611	49.442778	0.1983	48.0077	1931891	1931896
Brunhilda of Austrasia	0.1983	48.0077	0.1983	48.0077	1931896	1931881
Brunhilda of Austrasia	0.1983	48.0077	6.17269	49.11911	1931881	1931896
Brunhilda of Austrasia	6.17269	49.11911	6.17269	49.11911	1931896	1932521
Brunhilda of Austrasia	6.17269	49.11911	0.6848	47.3941	1932521	1932535
Brunhilda of Austrasia	0.6848	47.3941	0.6848	47.3941	1932535	1932526
Brunhilda of Austrasia	0.6848	47.3941	4.1444	48.4906	1932526	1932535
Brunhilda of Austrasia	4.1444	48.4906	4.1444	48.4906	1932535	1934721
Brunhilda of Austrasia	4.1444	48.4906	6.17269	49.11911	1934721	1934727
Brunhilda of Austrasia	6.17269	49.11911	6.17269	49.11911	1934727	1938007
Brunhilda of Austrasia	6.17269	49.11911	3.4833	49.3	1938007	1938014
Brunhilda of Austrasia	3.4833	49.3	3.4833	49.3	1938014	1938737
Brunhilda of Austrasia	3.4833	49.3	6.17269	49.11911	1938737	1938744
Brunhilda of Austrasia	6.17269	49.11911	6.17269	49.11911	1938744	1940199
Brunhilda of Austrasia	6.17269	49.11911	4.1444	48.4906	1940199	1940205
Brunhilda of Austrasia	4.1444	48.4906	4.1444	48.4906	1940205	1944948
Brunhilda of Austrasia	4.1444	48.4906	5.8944	48.6775	1944948	1944953
Brunhilda of Austrasia	5.8944	48.6775	5.8944	48.6775	1944953	1944947
Brunhilda of Austrasia	5.8944	48.6775	6.6433	50.6975	1944947	1944953
Brunhilda of Austrasia	6.6433	50.6975	6.6433	50.6975	1944953	1945310
Brunhilda of Austrasia	6.6433	50.6975	5.406389	47.404167	1945310	1945319
Brunhilda of Austrasia	5.406389	47.404167	5.406389	47.404167	1945319	1945528
Brunhilda of Austrasia	5.406389	47.404167	4.2986	46.9497	1945528	1945532
Brunhilda of Austrasia	4.2986	46.9497	4.2986	46.9497	1945532	1945562
