start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-4.024444	39.856667	-4.024444	39.856667	1927787	1945013
-4.024444	39.856667	-4.024444	39.856667	1945013	1945014
-4.024444	39.856667	-4.024444	39.856667	1945014	1945165
-4.024444	39.856667	-4.024444	39.856667	1945165	1945166
-4.024444	39.856667	-4.024444	39.856667	1945166	1946041
-4.024444	39.856667	-4.42	36.719444	1946041	1946049
-4.42	36.719444	-4.42	36.719444	1946049	1946406
-4.42	36.719444	-4.024444	39.856667	1946406	1946414
-4.024444	39.856667	-4.024444	39.856667	1946414	1947144
-4.024444	39.856667	-4.0285394	39.8596331	1947144	1947145
-4.0285394	39.8596331	-4.0285394	39.8596331	1947145	1948300
-4.0285394	39.8596331	-4.024444	39.856667	1948300	1948301
-4.024444	39.856667	-4.024444	39.856667	1948301	1948331
