en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Suintila	-4.024444	39.856667	-4.024444	39.856667	1934727	1948240
Suintila	-4.024444	39.856667	-4.024444	39.856667	1948240	1948241
Suintila	-4.024444	39.856667	-4.024444	39.856667	1948241	1949722
Suintila	-4.024444	39.856667	-0.98825	37.60309	1949722	1949732
Suintila	-0.98825	37.60309	-0.98825	37.60309	1949732	1949852
Suintila	-0.98825	37.60309	-0.933333	38.083333	1949852	1949854
Suintila	-0.933333	38.083333	-0.933333	38.083333	1949854	1949964
Suintila	-0.933333	38.083333	-1.65	42.482	1949964	1949975
Suintila	-1.65	42.482	-1.65	42.482	1949975	1950425
Suintila	-1.65	42.482	-4	43.333333	1950425	1950432
Suintila	-4	43.333333	-4	43.333333	1950432	1951884
Suintila	-4	43.333333	-0.887712	41.649693	1951884	1951893
Suintila	-0.887712	41.649693	-0.887712	41.649693	1951893	1952615
Suintila	-0.887712	41.649693	-4.0285394	39.8596331	1952615	1952624
Suintila	-4.0285394	39.8596331	-4.0285394	39.8596331	1952624	1952988
Suintila	-4.0285394	39.8596331	-4.024444	39.856667	1952988	1952989
Suintila	-4.024444	39.856667	-4.024444	39.856667	1952989	1953349
Suintila	-4.024444	39.856667	-4.723611	41.652222	1953349	1953354
Suintila	-4.723611	41.652222	-4.723611	41.652222	1953354	1953384
