start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-7.189	40.009	-7.189	40.009	1951558	1951673
-7.189	40.009	-8.0833	42.5667	1951673	1951680
-8.0833	42.5667	-8.0833	42.5667	1951680	1951786
-8.0833	42.5667	-5.149722	36.613333	1951786	1951802
-5.149722	36.613333	-5.149722	36.613333	1951802	1967130
-5.149722	36.613333	-4.9175	41.67639	1967130	1967143
-4.9175	41.67639	-4.9175	41.67639	1967143	1967155
-4.9175	41.67639	-4.024444	39.856667	1967155	1967161
-4.024444	39.856667	-4.024444	39.856667	1967161	1967255
-4.024444	39.856667	-4	43.333333	1967255	1967264
-4	43.333333	-4	43.333333	1967264	1967274
-4	43.333333	4.3601	43.8367	1967274	1967294
4.3601	43.8367	4.3601	43.8367	1967294	1967321
4.3601	43.8367	3.004167	43.183611	1967321	1967325
3.004167	43.183611	3.004167	43.183611	1967325	1967351
3.004167	43.183611	1.980833	42.464444	1967351	1967355
1.980833	42.464444	1.980833	42.464444	1967355	1967380
1.980833	42.464444	0.585556	43.646389	1967380	1967385
0.585556	43.646389	0.585556	43.646389	1967385	1967409
0.585556	43.646389	3.081389	42.526667	1967409	1967416
3.081389	42.526667	3.081389	42.526667	1967416	1967505
3.081389	42.526667	4.3601	43.8367	1967505	1967510
4.3601	43.8367	4.3601	43.8367	1967510	1967515
4.3601	43.8367	-4.024444	39.856667	1967515	1967538
-4.024444	39.856667	-4.024444	39.856667	1967538	1967618
-4.024444	39.856667	-1.795833	43.366667	1967618	1967629
-1.795833	43.366667	-1.795833	43.366667	1967629	1967741
-1.795833	43.366667	-5.847778	43.361389	1967741	1967751
-5.847778	43.361389	-5.847778	43.361389	1967751	1967866
-5.847778	43.361389	-4	42.5	1967866	1967872
-4	42.5	-4	42.5	1967872	1967952
-4	42.5	-8.428333	41.551111	1967952	1967964
-8.428333	41.551111	-8.428333	41.551111	1967964	1970097
-8.428333	41.551111	-3.987205	42.204737	1970097	1970108
-3.987205	42.204737	-3.987205	42.204737	1970108	1972344
-3.987205	42.204737	-4.9175	41.67639	1972344	1972347
-4.9175	41.67639	-4.9175	41.67639	1972347	1972377
