start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-2.5	55	-2.5	55	1916464	1924125
-2.5	55	-2.82799	51.03766	1924125	1924135
-2.82799	51.03766	-2.82799	51.03766	1924135	1933256
-2.82799	51.03766	-2.5	55	1933256	1933266
-2.5	55	-2.5	55	1933266	1938743
-2.5	55	-2.5	55	1938743	1938744
-2.5	55	-2.5	55	1938744	1940568
-2.5	55	-1.630096	54.377358	1940568	1940571
-1.630096	54.377358	-1.630096	54.377358	1940571	1941294
-1.630096	54.377358	-3.416667	52.3	1941294	1941301
-3.416667	52.3	-3.416667	52.3	1941301	1942396
-3.416667	52.3	-3.416667	52.3	1942396	1942397
-3.416667	52.3	-3.416667	52.3	1942397	1943490
-3.416667	52.3	-3.583	52.916	1943490	1943492
-3.583	52.916	-3.583	52.916	1943492	1943522
