ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
聖徳太子	Prince Shōtoku	135.820178	34.47865	135.820178	34.47865	1930749	1939047
聖徳太子	Prince Shōtoku	135.820178	34.47865	135.493778	34.612389	1939047	1939048
聖徳太子	Prince Shōtoku	135.493778	34.612389	135.045282	34.623315	1939048	1939050
聖徳太子	Prince Shōtoku	135.045282	34.623315	134.665682	34.763012	1939050	1939051
聖徳太子	Prince Shōtoku	134.665682	34.763012	133.888478	34.42577	1939051	1939053
聖徳太子	Prince Shōtoku	133.888478	34.42577	133.01633	34.101623	1939053	1939056
聖徳太子	Prince Shōtoku	133.01633	34.101623	132.7848324	33.85248265	1939056	1939057
聖徳太子	Prince Shōtoku	132.7848324	33.85248265	132.7848324	33.85248265	1939057	1939067
聖徳太子	Prince Shōtoku	132.7848324	33.85248265	133.888478	34.42577	1939067	1939070
聖徳太子	Prince Shōtoku	133.888478	34.42577	134.665682	34.763012	1939070	1939072
聖徳太子	Prince Shōtoku	134.665682	34.763012	135.045282	34.623315	1939072	1939073
聖徳太子	Prince Shōtoku	135.045282	34.623315	135.493778	34.612389	1939073	1939075
聖徳太子	Prince Shōtoku	135.493778	34.612389	135.820178	34.47865	1939075	1939076
聖徳太子	Prince Shōtoku	135.820178	34.47865	135.820178	34.47865	1939076	1948341
