ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	1989878	1991703
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	1991703	1991704
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	1991704	2001200
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	2001200	2001201
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	2001201	2002661
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	2002661	2002662
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	2002662	2005583
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	2005583	2005584
アルクィン	Alcuin	-1.083228	53.96223	-1.083228	53.96223	2005584	2006644
アルクィン	Alcuin	-1.083228	53.96223	10.32834	44.80139	2006644	2006679
アルクィン	Alcuin	10.32834	44.80139	10.32834	44.80139	2006679	2007027
アルクィン	Alcuin	10.32834	44.80139	6.0836	50.7756	2007027	2007045
アルクィン	Alcuin	6.0836	50.7756	6.0836	50.7756	2007045	2007126
アルクィン	Alcuin	6.0836	50.7756	9.23491	52.92343	2007126	2007136
アルクィン	Alcuin	9.23491	52.92343	9.23491	52.92343	2007136	2007407
アルクィン	Alcuin	9.23491	52.92343	8.9047222	51.940834	2007407	2007410
アルクィン	Alcuin	8.9047222	51.940834	8.9047222	51.940834	2007410	2007498
アルクィン	Alcuin	8.9047222	51.940834	8.264722	52.1325	2007498	2007501
アルクィン	Alcuin	8.264722	52.1325	8.264722	52.1325	2007501	2008859
アルクィン	Alcuin	8.264722	52.1325	12.101624	49.013432	2008859	2008871
アルクィン	Alcuin	12.101624	49.013432	12.101624	49.013432	2008871	2010303
アルクィン	Alcuin	12.101624	49.013432	24.244444	48.074722	2010303	2010332
アルクィン	Alcuin	24.244444	48.074722	24.244444	48.074722	2010332	2012102
アルクィン	Alcuin	24.244444	48.074722	0.689167	47.393611	2012102	2012158
アルクィン	Alcuin	0.689167	47.393611	0.689167	47.393611	2012158	2012507
アルクィン	Alcuin	0.689167	47.393611	6.0836	50.7756	2012507	2012523
アルクィン	Alcuin	6.0836	50.7756	6.0836	50.7756	2012523	2013375
アルクィン	Alcuin	6.0836	50.7756	12.496366	41.902782	2013375	2013401
アルクィン	Alcuin	12.496366	41.902782	12.496366	41.902782	2013401	2013229
アルクィン	Alcuin	12.496366	41.902782	8.7667	51.7167	2013229	2013254
アルクィン	Alcuin	8.7667	51.7167	8.7667	51.7167	2013254	2013960
アルクィン	Alcuin	8.7667	51.7167	12.496366	41.902782	2013960	2013985
アルクィン	Alcuin	12.496366	41.902782	12.496366	41.902782	2013985	2014008
アルクィン	Alcuin	12.496366	41.902782	12.496366	41.902782	2014008	2014009
アルクィン	Alcuin	12.496366	41.902782	12.496366	41.902782	2014009	2013959
アルクィン	Alcuin	12.496366	41.902782	2.1589899	41.3887901	2013959	2013984
アルクィン	Alcuin	2.1589899	41.3887901	2.1589899	41.3887901	2013984	2015044
アルクィン	Alcuin	2.1589899	41.3887901	10.1394	54.3233	2015044	2015080
アルクィン	Alcuin	10.1394	54.3233	10.1394	54.3233	2015080	2015223
アルクィン	Alcuin	10.1394	54.3233	0.689167	47.393611	2015223	2015251
アルクィン	Alcuin	0.689167	47.393611	0.689167	47.393611	2015251	2015281
