ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
不空金剛	Amoghavajra	66.9597	39.6542	66.9597	39.6542	1978556	1983935
不空金剛	Amoghavajra	66.9597	39.6542	108.889191	34.274342	1983935	1984034
不空金剛	Amoghavajra	108.889191	34.274342	108.889191	34.274342	1984034	1991979
不空金剛	Amoghavajra	108.889191	34.274342	80.767097	7.874097	1991979	1992070
不空金剛	Amoghavajra	80.767097	7.874097	80.767097	7.874097	1992070	1992152
不空金剛	Amoghavajra	80.767097	7.874097	77.5385	8.0883	1992152	1992161
不空金剛	Amoghavajra	77.5385	8.0883	77.5385	8.0883	1992161	1993800
不空金剛	Amoghavajra	77.5385	8.0883	108.889191	34.274342	1993800	1993896
不空金剛	Amoghavajra	108.889191	34.274342	108.889191	34.274342	1993896	1994243
不空金剛	Amoghavajra	108.889191	34.274342	102.63202	37.92672	1994243	1994261
不空金剛	Amoghavajra	102.63202	37.92672	102.63202	37.92672	1994261	1997165
不空金剛	Amoghavajra	102.63202	37.92672	108.889191	34.274342	1997165	1997183
不空金剛	Amoghavajra	108.889191	34.274342	108.889191	34.274342	1997183	2001549
不空金剛	Amoghavajra	108.889191	34.274342	113.564722	39.048611	2001549	2001566
不空金剛	Amoghavajra	113.564722	39.048611	113.564722	39.048611	2001566	2004106
不空金剛	Amoghavajra	113.564722	39.048611	108.889191	34.274342	2004106	2004123
不空金剛	Amoghavajra	108.889191	34.274342	108.889191	34.274342	2004123	2004153
