ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
步利設	Böri Shad	75.008306	42.915611	75.008306	42.915611	1940571	1950369
步利設	Böri Shad	75.008306	42.915611	48.288889	42.057778	1950369	1950432
步利設	Böri Shad	48.288889	42.057778	48.288889	42.057778	1950432	1950514
步利設	Böri Shad	48.288889	42.057778	44.7925	41.7225	1950514	1950523
步利設	Böri Shad	44.7925	41.7225	44.7925	41.7225	1950523	1950790
步利設	Böri Shad	44.7925	41.7225	47.123611	40.373611	1950790	1950797
步利設	Böri Shad	47.123611	40.373611	47.123611	40.373611	1950797	1951643
步利設	Böri Shad	47.123611	40.373611	44.5	39.883333	1951643	1951650
步利設	Böri Shad	44.5	39.883333	44.5	39.883333	1951650	1951518
步利設	Böri Shad	44.5	39.883333	87.329722	43.676944	1951518	1951619
步利設	Böri Shad	87.329722	43.676944	87.329722	43.676944	1951619	1951649
