start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
3.003889	49.578611	3.003889	49.578611	1994750	2002244
3.003889	49.578611	3.003889	49.578611	2002244	2002245
3.003889	49.578611	3.003889	49.578611	2002245	2003735
3.003889	49.578611	10.983333	45.433334	2003735	2003757
10.983333	45.433334	10.983333	45.433334	2003757	2004118
10.983333	45.433334	9.158207	45.184725	2004118	2004123
9.158207	45.184725	9.158207	45.184725	2004123	2005198
9.158207	45.184725	2.15899	41.38879	2005198	2005218
2.15899	41.38879	2.15899	41.38879	2005218	2005574
2.15899	41.38879	-1.31972	43.00861	2005574	2005584
-1.31972	43.00861	-1.31972	43.00861	2005584	2007010
-1.31972	43.00861	9.23491	52.92343	2007010	2007045
9.23491	52.92343	9.23491	52.92343	2007045	2007406
9.23491	52.92343	8.833	51.917	2007406	2007410
8.833	51.917	8.833	51.917	2007410	2007499
8.833	51.917	8.2647	52.1325	2007499	2007501
8.2647	52.1325	8.2647	52.1325	2007501	2008859
8.2647	52.1325	12.101624	49.013432	2008859	2008871
12.101624	49.013432	12.101624	49.013432	2008871	2010311
12.101624	49.013432	20.14824	46.15299	2010311	2010332
20.14824	46.15299	20.14824	46.15299	2010332	2013224
20.14824	46.15299	8.7667	51.7167	2013224	2013254
8.7667	51.7167	8.7667	51.7167	2013254	2013984
8.7667	51.7167	12.496366	41.902782	2013984	2014009
12.496366	41.902782	12.496366	41.902782	2014009	2015050
12.496366	41.902782	10.1394	54.3233	2015050	2015080
10.1394	54.3233	10.1394	54.3233	2015080	2018777
10.1394	54.3233	6.0836	50.7756	2018777	2018791
6.0836	50.7756	6.0836	50.7756	2018791	2018821
