start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
107.909	22.634	107.909	22.634	2000836	2011426
107.909	22.634	108.316666	22.816668	2011426	2011428
108.316666	22.816668	108.316666	22.816668	2011428	2011516
108.316666	22.816668	108.6499	21.9864	2011516	2011519
108.6499	21.9864	108.6499	21.9864	2011519	2011511
108.6499	21.9864	108.9	24.7833	2011511	2011519
108.9	24.7833	108.9	24.7833	2011519	2011514
108.9	24.7833	107.3907	24.5193	2011514	2011519
107.3907	24.5193	107.3907	24.5193	2011519	2011512
107.3907	24.5193	107.0434	22.0824	2011512	2011519
107.0434	22.0824	107.0434	22.0824	2011519	2011517
107.0434	22.0824	106.5115	22.2042	2011517	2011519
106.5115	22.2042	106.5115	22.2042	2011519	2011516
106.5115	22.2042	107.4459	22.4063	2011516	2011519
107.4459	22.4063	107.4459	22.4063	2011519	2011514
107.4459	22.4063	109.261	22.408	2011514	2011519
109.261	22.408	109.261	22.408	2011519	2011516
109.261	22.408	108.5114	23.1254	2011516	2011519
108.5114	23.1254	108.5114	23.1254	2011519	2011421
108.5114	23.1254	110.5	24.7833	2011421	2011428
110.5	24.7833	110.5	24.7833	2011428	2011423
110.5	24.7833	108.9	24.7833	2011423	2011428
108.9	24.7833	108.9	24.7833	2011428	2011427
108.9	24.7833	108.9	24.7833	2011427	2011428
108.9	24.7833	108.9	24.7833	2011428	2011427
108.9	24.7833	108.9	24.7833	2011427	2011428
108.9	24.7833	108.9	24.7833	2011428	2016261
108.9	24.7833	108.316666	22.816668	2016261	2016267
108.316666	22.816668	108.316666	22.816668	2016267	2016535
108.316666	22.816668	110.25	22.35	2016535	2016541
110.25	22.35	110.25	22.35	2016541	2016536
110.25	22.35	108.5114	23.1254	2016536	2016541
108.5114	23.1254	108.5114	23.1254	2016541	2016534
108.5114	23.1254	110.5	24.7833	2016534	2016541
110.5	24.7833	110.5	24.7833	2016541	2019454
110.5	24.7833	108.6499	21.9864	2019454	2019463
108.6499	21.9864	108.6499	21.9864	2019463	2019460
108.6499	21.9864	109.261	22.408	2019460	2019463
109.261	22.408	109.261	22.408	2019463	2019852
109.261	22.408	108.9	24.7833	2019852	2019859
108.9	24.7833	108.9	24.7833	2019859	2021648
108.9	24.7833	107.4146	23.0958	2021648	2021654
107.4146	23.0958	107.4146	23.0958	2021654	2021651
107.4146	23.0958	107.233	22.3422	2021651	2021654
107.233	22.3422	107.233	22.3422	2021654	2022016
107.233	22.3422	108.6499	21.9864	2022016	2022020
108.6499	21.9864	108.6499	21.9864	2022020	2022013
108.6499	21.9864	109.4277	24.3277	2022013	2022020
109.4277	24.3277	109.4277	24.3277	2022020	2022377
109.4277	24.3277	111.9067	22.4923	2022377	2022385
111.9067	22.4923	111.9067	22.4923	2022385	2026401
111.9067	22.4923	111.9067	22.4923	2026401	2026402
111.9067	22.4923	111.9067	22.4923	2026402	2026432
