en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Isidore of Seville	-0.9862	37.6025	-0.9862	37.6025	1925961	1929600
Isidore of Seville	-0.9862	37.6025	-5.9894	37.3872	1929600	1929613
Isidore of Seville	-5.9894	37.3872	-5.9894	37.3872	1929613	1940570
Isidore of Seville	-5.9894	37.3872	-5.9894	37.3872	1940570	1940571
Isidore of Seville	-5.9894	37.3872	-5.9894	37.3872	1940571	1947509
Isidore of Seville	-5.9894	37.3872	-5.9894	37.3872	1947509	1947510
Isidore of Seville	-5.9894	37.3872	-5.9894	37.3872	1947510	1952616
Isidore of Seville	-5.9894	37.3872	-4.0244	39.8569	1952616	1952624
Isidore of Seville	-4.0244	39.8569	-4.0244	39.8569	1952624	1953837
Isidore of Seville	-4.0244	39.8569	-5.9894	37.3872	1953837	1953845
Isidore of Seville	-5.9894	37.3872	-5.9894	37.3872	1953845	1954071
Isidore of Seville	-5.9894	37.3872	-5.57	42.6056	1954071	1954084
Isidore of Seville	-5.57	42.6056	-5.57	42.6056	1954084	1954114
