ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	135.807222	34.501944	1994992	1996816
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	135.524919	34.652028	1996816	1996818
百済王理伯	Kudara no Konikishi Rihaku	135.524919	34.652028	135.524919	34.652028	1996818	1999727
百済王理伯	Kudara no Konikishi Rihaku	135.524919	34.652028	130.722961	32.787292	1999727	1999740
百済王理伯	Kudara no Konikishi Rihaku	130.722961	32.787292	130.722961	32.787292	1999740	2001188
百済王理伯	Kudara no Konikishi Rihaku	130.722961	32.787292	135.807222	34.501944	2001188	2001201
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	135.807222	34.501944	2001201	2001564
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	135.524919	34.652028	2001564	2001566
百済王理伯	Kudara no Konikishi Rihaku	135.524919	34.652028	135.524919	34.652028	2001566	2002660
百済王理伯	Kudara no Konikishi Rihaku	135.524919	34.652028	135.807222	34.501944	2002660	2002662
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	135.807222	34.501944	2002662	2003024
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	136.497353	34.884403	2003024	2003027
百済王理伯	Kudara no Konikishi Rihaku	136.497353	34.884403	136.497353	34.884403	2003027	2004120
百済王理伯	Kudara no Konikishi Rihaku	136.497353	34.884403	135.807222	34.501944	2004120	2004123
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	135.807222	34.501944	2004123	2005071
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	135.807222	34.501944	2005071	2005072
百済王理伯	Kudara no Konikishi Rihaku	135.807222	34.501944	135.807222	34.501944	2005072	2005102
