ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
大伴犬養	Ōtomo no Inukai	134.695822	34.834681	134.695822	34.834681	1988783	1991714
大伴犬養	Ōtomo no Inukai	134.695822	34.834681	130.760556	42.691944	1991714	1991735
大伴犬養	Ōtomo no Inukai	130.760556	42.691944	130.760556	42.691944	1991735	1993873
大伴犬養	Ōtomo no Inukai	130.760556	42.691944	135.807222	34.501944	1993873	1993896
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.807222	34.501944	1993896	1994260
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.807222	34.501944	1994260	1994261
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.807222	34.501944	1994261	1994990
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.862847	34.765614	1994990	1994992
大伴犬養	Ōtomo no Inukai	135.862847	34.765614	135.862847	34.765614	1994992	1995353
大伴犬養	Ōtomo no Inukai	135.862847	34.765614	134.695822	34.834681	1995353	1995357
大伴犬養	Ōtomo no Inukai	134.695822	34.834681	134.695822	34.834681	1995357	1996451
大伴犬養	Ōtomo no Inukai	134.695822	34.834681	134.39	34.75	1996451	1996453
大伴犬養	Ōtomo no Inukai	134.39	34.75	134.39	34.75	1996453	1997182
大伴犬養	Ōtomo no Inukai	134.39	34.75	134.39	34.75	1997182	1997183
大伴犬養	Ōtomo no Inukai	134.39	34.75	134.39	34.75	1997183	1996568
大伴犬養	Ōtomo no Inukai	134.39	34.75	136.551814	35.386958	1996568	1996574
大伴犬養	Ōtomo no Inukai	136.551814	35.386958	136.551814	35.386958	1996574	1997910
大伴犬養	Ōtomo no Inukai	136.551814	35.386958	135.807222	34.501944	1997910	1997914
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.807222	34.501944	1997914	1998278
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.807222	34.501944	1998278	1998279
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.807222	34.501944	1998279	1998643
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.807222	34.501944	1998643	1998644
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	135.807222	34.501944	1998644	2000048
大伴犬養	Ōtomo no Inukai	135.807222	34.501944	133.918403	34.293603	2000048	2000053
大伴犬養	Ōtomo no Inukai	133.918403	34.293603	133.918403	34.293603	2000053	2000083
