ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
佐伯全成	Saeki no Matanari	140.892883	38.222328	140.892883	38.222328	1993896	1994991
佐伯全成	Saeki no Matanari	140.892883	38.222328	140.892883	38.222328	1994991	1994992
佐伯全成	Saeki no Matanari	140.892883	38.222328	140.892883	38.222328	1994992	1996071
佐伯全成	Saeki no Matanari	140.892883	38.222328	135.807222	34.501944	1996071	1996087
佐伯全成	Saeki no Matanari	135.807222	34.501944	135.807222	34.501944	1996087	1996163
佐伯全成	Saeki no Matanari	135.807222	34.501944	140.892883	38.222328	1996163	1996179
佐伯全成	Saeki no Matanari	140.892883	38.222328	140.892883	38.222328	1996179	1997532
佐伯全成	Saeki no Matanari	140.892883	38.222328	135.807222	34.501944	1997532	1997548
佐伯全成	Saeki no Matanari	135.807222	34.501944	135.807222	34.501944	1997548	1997898
佐伯全成	Saeki no Matanari	135.807222	34.501944	140.892883	38.222328	1997898	1997914
佐伯全成	Saeki no Matanari	140.892883	38.222328	140.892883	38.222328	1997914	1998135
佐伯全成	Saeki no Matanari	140.892883	38.222328	135.807222	34.501944	1998135	1998151
佐伯全成	Saeki no Matanari	135.807222	34.501944	135.807222	34.501944	1998151	1998181
