ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1990243	1991338
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1991338	1991339
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1991339	1992434
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1992434	1992435
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1992435	1992799
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1992799	1992800
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1992800	1994625
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1994625	1994626
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1994626	1997547
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1997547	1997548
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1997548	1997913
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1997913	1997914
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1997914	1998275
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	134.695822	34.834681	1998275	1998279
坂上犬養	Sakanoue no Inukai	134.695822	34.834681	134.695822	34.834681	1998279	1999005
坂上犬養	Sakanoue no Inukai	134.695822	34.834681	135.807222	34.501944	1999005	1999009
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	1999009	2000104
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	2000104	2000105
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	2000105	2000873
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	2000873	2000874
坂上犬養	Sakanoue no Inukai	135.807222	34.501944	135.807222	34.501944	2000874	2000904
