ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	1987322	1997913
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	1997913	1997914
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	1997914	2000462
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	138.683564	35.638178	2000462	2000470
坂上苅田麻呂	Sakanoue no Karitamaro	138.683564	35.638178	138.683564	35.638178	2000470	2000828
坂上苅田麻呂	Sakanoue no Karitamaro	138.683564	35.638178	135.807222	34.501944	2000828	2000836
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	2000836	2001930
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	2001930	2001931
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	2001931	2002646
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	140.892883	38.222328	2002646	2002662
坂上苅田麻呂	Sakanoue no Karitamaro	140.892883	38.222328	140.892883	38.222328	2002662	2003005
坂上苅田麻呂	Sakanoue no Karitamaro	140.892883	38.222328	132.74875	34.434236	2003005	2003027
坂上苅田麻呂	Sakanoue no Karitamaro	132.74875	34.434236	132.74875	34.434236	2003027	2005210
坂上苅田麻呂	Sakanoue no Karitamaro	132.74875	34.434236	135.578519	35.042242	2005210	2005218
坂上苅田麻呂	Sakanoue no Karitamaro	135.578519	35.042242	135.578519	35.042242	2005218	2006677
坂上苅田麻呂	Sakanoue no Karitamaro	135.578519	35.042242	135.807222	34.501944	2006677	2006679
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	2006679	2007044
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	2007044	2007045
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	2007045	2007767
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	133.025444	34.026167	2007767	2007775
坂上苅田麻呂	Sakanoue no Karitamaro	133.025444	34.026167	133.025444	34.026167	2007775	2008122
坂上苅田麻呂	Sakanoue no Karitamaro	133.025444	34.026167	139.916519	35.744142	2008122	2008140
坂上苅田麻呂	Sakanoue no Karitamaro	139.916519	35.744142	139.916519	35.744142	2008140	2008569
坂上苅田麻呂	Sakanoue no Karitamaro	139.916519	35.744142	135.807222	34.501944	2008569	2008580
坂上苅田麻呂	Sakanoue no Karitamaro	135.807222	34.501944	135.807222	34.501944	2008580	2008610
