ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1966503	1971036
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.6	4	1971036	1971039
シュリー・ジャヤナサ	Sri Jayanasa	104.6	4	104.6	4	1971039	1971036
シュリー・ジャヤナサ	Sri Jayanasa	104.6	4	104.756	2.991	1971036	1971039
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1971039	1971364
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1971364	1971365
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1971365	1972066
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	106	2.25	1972066	1972070
シュリー・ジャヤナサ	Sri Jayanasa	106	2.25	106	2.25	1972070	1972057
シュリー・ジャヤナサ	Sri Jayanasa	106	2.25	110	7.5	1972057	1972073
シュリー・ジャヤナサ	Sri Jayanasa	110	7.5	110	7.5	1972073	1972052
シュリー・ジャヤナサ	Sri Jayanasa	110	7.5	103.6	1.6	1972052	1972073
シュリー・ジャヤナサ	Sri Jayanasa	103.6	1.6	103.6	1.6	1972073	1972061
シュリー・ジャヤナサ	Sri Jayanasa	103.6	1.6	105.6	5.75	1972061	1972073
シュリー・ジャヤナサ	Sri Jayanasa	105.6	5.75	105.6	5.75	1972073	1972339
シュリー・ジャヤナサ	Sri Jayanasa	105.6	5.75	104.756	2.991	1972339	1972347
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1972347	1973076
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1973076	1973077
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1973077	1977824
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1977824	1977825
シュリー・ジャヤナサ	Sri Jayanasa	104.756	2.991	104.756	2.991	1977825	1977855
