ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
暾欲谷	Tonyukuk	107.466667	47.7	107.466667	47.7	1957372	1969404
暾欲谷	Tonyukuk	107.466667	47.7	111.83389	40.37472	1969404	1969425
暾欲谷	Tonyukuk	111.83389	40.37472	111.83389	40.37472	1969425	1970134
暾欲谷	Tonyukuk	111.83389	40.37472	107.466667	47.7	1970134	1970155
暾欲谷	Tonyukuk	107.466667	47.7	107.466667	47.7	1970155	1972323
暾欲谷	Tonyukuk	107.466667	47.7	112.432825	39.331595	1972323	1972347
暾欲谷	Tonyukuk	112.432825	39.331595	112.432825	39.331595	1972347	1978175
暾欲谷	Tonyukuk	112.432825	39.331595	108.889191	34.274342	1978175	1978190
暾欲谷	Tonyukuk	108.889191	34.274342	108.889191	34.274342	1978190	1980701
暾欲谷	Tonyukuk	108.889191	34.274342	100.3653	51.718889	1980701	1980747
暾欲谷	Tonyukuk	100.3653	51.718889	100.3653	51.718889	1980747	1981050
暾欲谷	Tonyukuk	100.3653	51.718889	75.755556	42.215833	1981050	1981112
暾欲谷	Tonyukuk	75.755556	42.215833	75.755556	42.215833	1981112	1982863
暾欲谷	Tonyukuk	75.755556	42.215833	107.475833	47.694444	1982863	1982939
暾欲谷	Tonyukuk	107.475833	47.694444	107.475833	47.694444	1982939	1983029
暾欲谷	Tonyukuk	107.475833	47.694444	107.475833	47.694444	1983029	1983030
暾欲谷	Tonyukuk	107.475833	47.694444	107.475833	47.694444	1983030	1984356
暾欲谷	Tonyukuk	107.475833	47.694444	89.205909	44.092366	1984356	1984400
暾欲谷	Tonyukuk	89.205909	44.092366	89.205909	44.092366	1984400	1984734
暾欲谷	Tonyukuk	89.205909	44.092366	100.783333	38.7	1984734	1984765
暾欲谷	Tonyukuk	100.783333	38.7	100.783333	38.7	1984765	1986564
暾欲谷	Tonyukuk	100.783333	38.7	107.475833	47.694444	1986564	1986591
暾欲谷	Tonyukuk	107.475833	47.694444	107.475833	47.694444	1986591	1986621
