ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
梧空	Wukong	108.889191	34.274342	108.889191	34.274342	1988052	1995721
梧空	Wukong	108.889191	34.274342	108.889191	34.274342	1995721	1995722
梧空	Wukong	108.889191	34.274342	108.889191	34.274342	1995722	1996471
梧空	Wukong	108.889191	34.274342	71.5	34	1996471	1996559
梧空	Wukong	71.5	34	71.5	34	1996559	1997913
梧空	Wukong	71.5	34	71.5	34	1997913	1997914
梧空	Wukong	71.5	34	71.5	34	1997914	1998004
梧空	Wukong	71.5	34	71.5	34	1998004	1998005
梧空	Wukong	71.5	34	71.5	34	1998005	1999367
梧空	Wukong	71.5	34	74.348259	34.202148	1999367	1999375
梧空	Wukong	74.348259	34.202148	74.348259	34.202148	1999375	2000475
梧空	Wukong	74.348259	34.202148	83.0468775	27.5517986	2000475	2000501
梧空	Wukong	83.0468775	27.5517986	83.0468775	27.5517986	2000501	2000525
梧空	Wukong	83.0468775	27.5517986	82.9739	25.3188	2000525	2000531
梧空	Wukong	82.9739	25.3188	82.9739	25.3188	2000531	2000556
梧空	Wukong	82.9739	25.3188	85.130298	25.989473	2000556	2000562
梧空	Wukong	85.130298	25.989473	85.130298	25.989473	2000562	2000575
梧空	Wukong	85.130298	25.989473	78.24011	24.52661	2000575	2000592
梧空	Wukong	78.24011	24.52661	78.24011	24.52661	2000592	2000610
梧空	Wukong	78.24011	24.52661	82.035988	27.505379	2000610	2000622
梧空	Wukong	82.035988	27.505379	82.035988	27.505379	2000622	2000647
梧空	Wukong	82.035988	27.505379	83.890829	26.739133	2000647	2000653
梧空	Wukong	83.890829	26.739133	83.890829	26.739133	2000653	2000677
梧空	Wukong	83.890829	26.739133	85.4426079	25.13662	2000677	2000683
梧空	Wukong	85.4426079	25.13662	85.4426079	25.13662	2000683	2001527
梧空	Wukong	85.4426079	25.13662	71.5	34	2001527	2001566
梧空	Wukong	71.5	34	71.5	34	2001566	2009685
梧空	Wukong	71.5	34	69.8	36.7	2009685	2009693
梧空	Wukong	69.8	36.7	69.8	36.7	2009693	2009767
梧空	Wukong	69.8	36.7	75.989754	39.470402	2009767	2009784
梧空	Wukong	75.989754	39.470402	75.989754	39.470402	2009784	2009863
梧空	Wukong	75.989754	39.470402	79.923134	37.120632	2009863	2009875
梧空	Wukong	79.923134	37.120632	79.923134	37.120632	2009875	2009983
梧空	Wukong	79.923134	37.120632	82.966667	41.716667	2009983	2009997
梧空	Wukong	82.966667	41.716667	82.966667	41.716667	2009997	2010018
梧空	Wukong	82.966667	41.716667	86.570833	42.059722	2010018	2010027
梧空	Wukong	86.570833	42.059722	86.570833	42.059722	2010027	2010052
梧空	Wukong	86.570833	42.059722	87.616852	43.825592	2010052	2010058
梧空	Wukong	87.616852	43.825592	87.616852	43.825592	2010058	2010033
梧空	Wukong	87.616852	43.825592	108.889191	34.274342	2010033	2010088
梧空	Wukong	108.889191	34.274342	108.889191	34.274342	2010088	2010118
梧空	Wukong	108.889191	34.274342	108.889191	34.274342	2010118	2010119
梧空	Wukong	108.889191	34.274342	108.889191	34.274342	2010119	2010149
