ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
玄奘	Xuanzang	112.442223	34.669724	112.442223	34.669724	1941429	1944587
玄奘	Xuanzang	112.442223	34.669724	112.442223	34.669724	1944587	1944588
玄奘	Xuanzang	112.442223	34.669724	112.442223	34.669724	1944588	1947136
玄奘	Xuanzang	112.442223	34.669724	108.950278	34.164444	1947136	1947145
玄奘	Xuanzang	108.950278	34.164444	108.950278	34.164444	1947145	1947221
玄奘	Xuanzang	108.950278	34.164444	104.066667	30.666667	1947221	1947236
玄奘	Xuanzang	104.066667	30.666667	104.066667	30.666667	1947236	1948591
玄奘	Xuanzang	104.066667	30.666667	108.950278	34.164444	1948591	1948606
玄奘	Xuanzang	108.950278	34.164444	108.950278	34.164444	1948606	1951192
玄奘	Xuanzang	108.950278	34.164444	108.950278	34.164444	1951192	1951193
玄奘	Xuanzang	108.950278	34.164444	108.950278	34.164444	1951193	1951205
玄奘	Xuanzang	108.950278	34.164444	102.638931	37.934246	1951205	1951223
玄奘	Xuanzang	102.638931	37.934246	102.638931	37.934246	1951223	1951220
玄奘	Xuanzang	102.638931	37.934246	89.186667	42.951111	1951220	1951254
玄奘	Xuanzang	89.186667	42.951111	89.186667	42.951111	1951254	1951277
玄奘	Xuanzang	89.186667	42.951111	86.568333	42.058611	1951277	1951284
玄奘	Xuanzang	86.568333	42.058611	86.568333	42.058611	1951284	1951306
玄奘	Xuanzang	86.568333	42.058611	82.966667	41.716667	1951306	1951315
玄奘	Xuanzang	82.966667	41.716667	82.966667	41.716667	1951315	1951338
玄奘	Xuanzang	82.966667	41.716667	80.275902	41.176327	1951338	1951345
玄奘	Xuanzang	80.275902	41.176327	80.275902	41.176327	1951345	1951367
玄奘	Xuanzang	80.275902	41.176327	77.25	42.416667	1951367	1951376
玄奘	Xuanzang	77.25	42.416667	77.25	42.416667	1951376	1951552
玄奘	Xuanzang	77.25	42.416667	75.2833	42.8333	1951552	1951558
玄奘	Xuanzang	75.2833	42.8333	75.2833	42.8333	1951558	1951574
玄奘	Xuanzang	75.2833	42.8333	69.28	41.3111	1951574	1951589
玄奘	Xuanzang	69.28	41.3111	69.28	41.3111	1951589	1951611
玄奘	Xuanzang	69.28	41.3111	66.970139	39.652451	1951611	1951619
玄奘	Xuanzang	66.970139	39.652451	66.970139	39.652451	1951619	1951642
玄奘	Xuanzang	66.970139	39.652451	66.8972	36.7564	1951642	1951650
玄奘	Xuanzang	66.8972	36.7564	66.8972	36.7564	1951650	1951628
玄奘	Xuanzang	66.8972	36.7564	85.456177	25.122265	1951628	1951680
玄奘	Xuanzang	85.456177	25.122265	85.456177	25.122265	1951680	1956233
玄奘	Xuanzang	85.456177	25.122265	73	38	1956233	1956276
玄奘	Xuanzang	73	38	73	38	1956276	1956954
玄奘	Xuanzang	73	38	94.66188	40.142132	1956954	1957006
玄奘	Xuanzang	94.66188	40.142132	94.66188	40.142132	1957006	1956969
玄奘	Xuanzang	94.66188	40.142132	108.950278	34.164444	1956969	1957006
玄奘	Xuanzang	108.950278	34.164444	108.950278	34.164444	1957006	1957005
玄奘	Xuanzang	108.950278	34.164444	108.950278	34.164444	1957005	1957006
玄奘	Xuanzang	108.950278	34.164444	108.950278	34.164444	1957006	1964009
玄奘	Xuanzang	108.950278	34.164444	108.945	34.897222	1964009	1964012
玄奘	Xuanzang	108.945	34.897222	108.945	34.897222	1964012	1964042
