en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Atlatl Cauac	-98.871635	19.686081	-98.871635	19.686081	1849260	1852911
Atlatl Cauac	-98.871635	19.686081	-98.871635	19.686081	1852911	1852912
Atlatl Cauac	-98.871635	19.686081	-98.871635	19.686081	1852912	1858179
Atlatl Cauac	-98.871635	19.686081	-98.871635	19.686081	1858179	1858180
Atlatl Cauac	-98.871635	19.686081	-98.871635	19.686081	1858180	1859494
Atlatl Cauac	-98.871635	19.686081	-89.61447	17.21451	1859494	1859517
Atlatl Cauac	-89.61447	17.21451	-89.61447	17.21451	1859517	1859851
Atlatl Cauac	-89.61447	17.21451	-89.61447	17.21451	1859851	1859852
Atlatl Cauac	-89.61447	17.21451	-89.61447	17.21451	1859852	1860216
Atlatl Cauac	-89.61447	17.21451	-89.63274	17.39389	1860216	1860217
Atlatl Cauac	-89.63274	17.39389	-89.63274	17.39389	1860217	1860578
Atlatl Cauac	-89.63274	17.39389	-90.96667	16.9	1860578	1860582
Atlatl Cauac	-90.96667	16.9	-90.96667	16.9	1860582	1860945
Atlatl Cauac	-90.96667	16.9	-92.00968	16.90122	1860945	1860948
Atlatl Cauac	-92.00968	16.90122	-92.00968	16.90122	1860948	1861301
Atlatl Cauac	-92.00968	16.90122	-96.768133	17.046323	1861301	1861313
Atlatl Cauac	-96.768133	17.046323	-96.768133	17.046323	1861313	1881957
Atlatl Cauac	-96.768133	17.046323	-96.768133	17.046323	1881957	1881958
Atlatl Cauac	-96.768133	17.046323	-96.768133	17.046323	1881958	1881988
