en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
K'inich Yax K'uk' Mo'	-89.61447	17.21451	-89.61447	17.21451	1866061	1873475
K'inich Yax K'uk' Mo'	-89.61447	17.21451	-89.1425	14.8375	1873475	1873482
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1873482	1877297
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1877297	1877298
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1877298	1877300
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1877300	1877301
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1877301	1878844
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1878844	1878845
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1878845	1881035
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1881035	1881036
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1881036	1881248
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1881248	1881249
K'inich Yax K'uk' Mo'	-89.1425	14.8375	-89.1425	14.8375	1881249	1881279
