en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Yax Nuun Ahiin I	-98.843889	19.6925	-98.843889	19.6925	1854373	1859510
Yax Nuun Ahiin I	-98.843889	19.6925	-89.623611	17.221944	1859510	1859533
Yax Nuun Ahiin I	-89.623611	17.221944	-89.623611	17.221944	1859533	1860137
Yax Nuun Ahiin I	-89.623611	17.221944	-89.623611	17.221944	1860137	1860138
Yax Nuun Ahiin I	-89.623611	17.221944	-89.623611	17.221944	1860138	1861677
Yax Nuun Ahiin I	-89.623611	17.221944	-89.623611	17.221944	1861677	1861678
Yax Nuun Ahiin I	-89.623611	17.221944	-89.623611	17.221944	1861678	1863503
Yax Nuun Ahiin I	-89.623611	17.221944	-89.6334028	17.3948975	1863503	1863504
Yax Nuun Ahiin I	-89.6334028	17.3948975	-89.6334028	17.3948975	1863504	1864963
Yax Nuun Ahiin I	-89.6334028	17.3948975	-89.28	17.779083	1864963	1864965
Yax Nuun Ahiin I	-89.28	17.779083	-89.28	17.779083	1864965	1869180
Yax Nuun Ahiin I	-89.28	17.779083	-89.623611	17.221944	1869180	1869183
Yax Nuun Ahiin I	-89.623611	17.221944	-89.623611	17.221944	1869183	1870047
Yax Nuun Ahiin I	-89.623611	17.221944	-89.623611	17.221944	1870047	1870048
Yax Nuun Ahiin I	-89.623611	17.221944	-89.623611	17.221944	1870048	1870078
