en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1950241	1954948
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1954948	1954949
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1954949	1961675
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1961675	1961676
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1961676	1961754
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1961754	1961755
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1961755	1963215
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1963215	1963216
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1963216	1965771
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1965771	1965772
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1965772	1972330
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1972330	1972331
Itzam K'an Ahk I	-90.8822	16.8408	-90.8822	16.8408	1972331	1972361
