ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-21.15	63.8667	-21.15	63.8667	2072058	2072084
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-21.15	63.8667	5.75	58.716667	2072084	2072149
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	5.75	58.716667	5.75	58.716667	2072149	2081672
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	5.75	58.716667	-21.15	63.8667	2081672	2081737
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-21.15	63.8667	-21.15	63.8667	2081737	2081653
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-21.15	63.8667	-69.6008	66.8309	2081653	2081767
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-69.6008	66.8309	-69.6008	66.8309	2081767	2081755
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-69.6008	66.8309	-58	53	2081755	2081798
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-58	53	-58	53	2081798	2081820
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-58	53	-55.5333	51.5964	2081820	2081828
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-55.5333	51.5964	-55.5333	51.5964	2081828	2081825
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-55.5333	51.5964	-44.7	59.9833	2081825	2081858
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-44.7	59.9833	-44.7	59.9833	2081858	2081918
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-44.7	59.9833	-44.7	59.9833	2081918	2081919
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-44.7	59.9833	-44.7	59.9833	2081919	2086667
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-44.7	59.9833	-44.7	59.9833	2086667	2086668
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-44.7	59.9833	-44.7	59.9833	2086668	2088010
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	-44.7	59.9833	5.75	58.716667	2088010	2088128
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	5.75	58.716667	5.75	58.716667	2088128	2088493
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	5.75	58.716667	5.75	58.716667	2088493	2088494
ビャルニ・ヘルヨールフソン	Bjarni Herjólfsson	5.75	58.716667	5.75	58.716667	2088494	2088524
