ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
レイフ・エリクソン	Leif Erikson	5.75	58.716667	5.75	58.716667	2068405	2071989
レイフ・エリクソン	Leif Erikson	5.75	58.716667	-22.574925	66.39372	2071989	2072058
レイフ・エリクソン	Leif Erikson	-22.574925	66.39372	-22.574925	66.39372	2072058	2074975
レイフ・エリクソン	Leif Erikson	-22.574925	66.39372	-21.536473	65.05845	2074975	2074980
レイフ・エリクソン	Leif Erikson	-21.536473	65.05845	-21.536473	65.05845	2074980	2079359
レイフ・エリクソン	Leif Erikson	-21.536473	65.05845	-20.283889	64.311111	2079359	2079363
レイフ・エリクソン	Leif Erikson	-20.283889	64.311111	-20.283889	64.311111	2079363	2080086
レイフ・エリクソン	Leif Erikson	-20.283889	64.311111	-18	65	2080086	2080093
レイフ・エリクソン	Leif Erikson	-18	65	-18	65	2080093	2080118
レイフ・エリクソン	Leif Erikson	-18	65	-45.515	61.152222	2080118	2080184
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2080184	2080457
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2080457	2080458
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2080458	2081123
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-18	65	2081123	2081189
レイフ・エリクソン	Leif Erikson	-18	65	-18	65	2081189	2081214
レイフ・エリクソン	Leif Erikson	-18	65	-45.515	61.152222	2081214	2081280
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2081280	2081496
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-21.15	63.866667	2081496	2081554
レイフ・エリクソン	Leif Erikson	-21.15	63.866667	-21.15	63.866667	2081554	2081498
レイフ・エリクソン	Leif Erikson	-21.15	63.866667	-44.7	59.983333	2081498	2081554
レイフ・エリクソン	Leif Erikson	-44.7	59.983333	-44.7	59.983333	2081554	2086173
レイフ・エリクソン	Leif Erikson	-44.7	59.983333	10.393333	63.429722	2086173	2086302
レイフ・エリクソン	Leif Erikson	10.393333	63.429722	10.393333	63.429722	2086302	2086597
レイフ・エリクソン	Leif Erikson	10.393333	63.429722	-45.515	61.152222	2086597	2086728
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2086728	2086729
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-70	68	2086729	2086789
レイフ・エリクソン	Leif Erikson	-70	68	-70	68	2086789	2086812
レイフ・エリクソン	Leif Erikson	-70	68	-62	54	2086812	2086850
レイフ・エリクソン	Leif Erikson	-62	54	-62	54	2086850	2086894
レイフ・エリクソン	Leif Erikson	-62	54	-55.533333	51.601389	2086894	2086911
レイフ・エリクソン	Leif Erikson	-55.533333	51.601389	-55.533333	51.601389	2086911	2087000
レイフ・エリクソン	Leif Erikson	-55.533333	51.601389	-45.515	61.152222	2087000	2087033
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2087033	2087762
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2087762	2087763
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2087763	2093971
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2093971	2093972
レイフ・エリクソン	Leif Erikson	-45.515	61.152222	-45.515	61.152222	2093972	2094002
