start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-21.5365	65.0585	-21.5365	65.0585	2077536	2081497
-21.5365	65.0585	-45.515	61.1522	2081497	2081554
-45.515	61.1522	-45.515	61.1522	2081554	2087397
-45.515	61.1522	-45.515	61.1522	2087397	2087398
-45.515	61.1522	-45.515	61.1522	2087398	2087456
-45.515	61.1522	-55.5333	51.5964	2087456	2087489
-55.5333	51.5964	-55.5333	51.5964	2087489	2087711
-55.5333	51.5964	-70	68	2087711	2087763
-70	68	-70	68	2087763	2087813
-70	68	-59.9992	53.23	2087813	2087855
-59.9992	53.23	-59.9992	53.23	2087855	2087843
-59.9992	53.23	-55.5333	51.5964	2087843	2087855
-55.5333	51.5964	-55.5333	51.5964	2087855	2088127
-55.5333	51.5964	-55.5333	51.5964	2088127	2088128
-55.5333	51.5964	-55.5333	51.5964	2088128	2088158
